cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,mlum_nn,mlum_nn2,mlum_nn3
37,139.46082411646847,128.9747992079757,-22.360240752258267,38.0,41.0,42.0,141.23318365488555,235.34698176182263,237.53750636481305,3.729003166270604,6.213905382934476,6.271742167243644,1.5692575961653958,2.614966464020253,2.6393056262757018,773092.3081777312,299646.9588552496,694569.4292336642
38,139.45993389352927,128.97418634050857,-22.360013510236282,46.0,37.0,42.0,130.73637840575552,141.23318365488555,233.86132576943544,3.4518542767760505,3.729003166270604,6.174679361427105,1.4526264267306177,1.5692575961653958,2.5984591752159503,4155102.650162329,1759587.0511687738,694569.4292336642
39,139.4731340191945,128.99073834952122,-22.35532177207632,25.0,29.0,27.0,16.992359836729182,308.36561612599473,333.7483032672701,0.44865209431523456,8.141828493455778,8.812011790814292,0.1888039981858799,3.4262846236221653,3.7083144807474473,101547.92739739925,1249053.410530846,1557724.1048264147
40,139.47016964906263,128.98846976253137,-22.354810896608647,17.0,21.0,29.0,150.83903247108913,194.55725409875828,200.866376642456,3.9826279853348647,5.136927439998888,5.3035082486516725,1.6759892496787692,2.1617472677639817,2.2318486293606234,403911.9461785046,189832.40802044334,1249053.410530846
41,139.46074343813171,128.97549813612304,-22.35940536469075,37.0,38.0,46.0,235.34698176182263,312.4198011721591,443.05187738048033,6.213905382934476,8.248871813464309,11.697972182026891,2.614966464020253,3.4713311241351037,4.922798637560893,1759587.0511687738,773092.3081777312,4155102.650162329
42,139.46092596589554,128.9741044584238,-22.361092740193648,46.0,38.0,37.0,198.58614531845586,233.86132576943544,237.53750636481305,5.243302922913185,6.174679361427105,6.271742167243644,2.2065127257606214,2.5984591752159503,2.6393056262757018,4155102.650162329,773092.3081777312,1759587.0511687738
43,139.47248395986222,128.98874293305374,-22.356827570814186,44.0,40.0,29.0,186.45402272693082,439.72578636221886,454.6612742182109,4.9229764784712815,11.61015284936419,12.004497011716886,2.071711363632565,4.885842070691324,5.051791935757901,1237803.9570716557,1707804.9835819353,1249053.410530846
44,139.4725501650075,128.98936137936954,-22.35622576845729,43.0,29.0,25.0,186.45402272693082,302.05941640872294,339.61581695678825,4.9229764784712815,7.975324856673758,8.966932727665894,2.071711363632565,3.356215737874701,3.773509077297649,560613.9099503539,1249053.410530846,101547.92739739925
45,139.48498475084386,128.99099063522758,-22.36688303881642,36.0,50.0,53.0,616.1111910180235,1166.0505978339527,1426.7762225698361,16.26728593540055,30.787427280402646,37.6714091818781,6.845679900200263,12.956117753710592,15.853069139664852,2280662.747172731,746066.9990829244,1713201.1876988588
46,139.4596347406073,128.97365012556878,-22.360293815652746,38.0,42.0,47.0,130.73637840575552,198.58614531845586,213.0401428755193,3.4518542767760505,5.243302922913185,5.6249342170661505,1.4526264267306177,2.2065127257606214,2.3671126986168827,773092.3081777312,694569.4292336642,863877.6388534135
47,139.45957423149045,128.97295067926535,-22.360988733266254,46.0,42.0,38.0,213.0401428755193,250.30995560350303,340.12733785359507,5.6249342170661505,6.608975262324822,8.980438498720856,2.3671126986168827,2.7812217289278127,3.779192642817725,4155102.650162329,694569.4292336642,773092.3081777312
48,139.46278500900044,128.97435452069442,-22.362679234284137,57.0,51.0,52.0,105.65769282608008,127.25610043266522,340.68808173354785,2.7896975830557245,3.3599639203788727,8.995243912361605,1.1739743647342236,1.4139566714740588,3.785423130372755,1718173.2746032928,1365079.2505341715,1311389.507732342
