cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3
31,169.5665924187407,-0.0028510695791043885,-32.78685366233852,14.0,43.0,42.0,151.81238459567857,166.25824147501328,254.22810328802882,4.666148591852084,5.1101605538216415,7.8140272239714825,2.4097203904075957,2.639019705952592,4.035366718857599,1387892.9769739886,4098561.910749517,1899904.8490204187,2.3961491719671475,6.275178857043329,4.470650956508358,68.51004937446052,87.82311064167672,100.15954938708357,19.419573099188174,43.7369099854619,48.80108180687176
32,169.55666604457863,-0.01119517919618451,-32.79402360355495,64.0,33.0,47.0,66.88456226652508,126.0905515804476,126.7105791122904,2.0557829117024022,3.8755550231947686,3.8946123656001532,1.061659718516271,2.001437326673772,2.0112790335284187,356976.6804024512,2840036.7017447967,1186373.6883251986,3.5980263999362125,3.887197498228204,4.908930482902258,65.08117522970423,93.63743163496018,72.65766838760167,24.793678726548137,47.22820443468969,28.496048720869236
33,169.55580805886422,-0.011916519070336449,-32.79329779390644,32.0,47.0,64.0,126.0905515804476,144.83414691344518,179.0104044621534,3.8755550231947686,4.45166349551898,5.5021146590416325,2.001437326673772,2.298954712911829,2.8414349914627524,1319214.288457479,1186373.6883251986,356976.6804024512,4.419858565307333,4.908930482902258,3.5980263999362125,58.940526276497266,72.65766838760167,65.08117522970423,16.518567991411956,28.496048720869236,24.793678726548137
34,169.56072415229303,-0.007783861666456096,-32.793777169550125,48.0,26.0,35.0,102.77268327365843,105.54872662356613,110.34005504340055,3.1588503969253403,3.2441756541669737,3.3914432859801136,1.6313124329152136,1.6753766130724783,1.7514294451333423,1256666.9190552935,849889.4865687555,1034576.013040193,5.661530977965469,7.9481072387133445,2.992879088843269,57.77296372793995,71.49299539529555,59.29610221086991,,,16.677394693921958
35,169.56112769478932,-0.00744470296061355,-32.79294841251268,48.0,18.0,34.0,89.04257062986488,105.15382240030495,110.34005504340055,2.736837753164841,3.232037765745063,3.3914432859801136,1.4133741369819819,1.6691082920683329,1.7514294451333423,1256666.9190552935,1543337.1944155912,1777833.774824198,5.661530977965469,5.340513843645146,7.140516814684465,57.77296372793995,58.21926851782435,79.27691293557463,,13.421786912863547,36.418552509857896
36,169.5635827242915,-0.005380941946374685,-32.79264337832465,75.0,18.0,57.0,59.532238264059714,169.66268579657498,204.47365847851344,1.8297997919304951,5.214800521894089,6.284760470111992,0.9449561629215826,2.693058504707539,3.245613626643072,1807548.2775693103,1543337.1944155912,1399187.9986928287,5.657159036352701,5.340513843645146,4.526481275909095,91.33979444552173,58.21926851782435,130.53468064040322,42.14122848910968,13.421786912863547,72.3256502407774
37,169.5572498918125,-0.010704731242350862,-32.791136491886185,20.0,28.0,11.0,70.11310396638993,91.1834928476298,176.6424542128159,2.1550162868099885,2.8026417468132823,5.429332667302623,1.1129064121649197,1.4473570293274574,2.8038484795685057,4567830.1941426685,2597594.90981328,1748577.370028813,5.532811893056924,5.197054365550653,5.61831181589593,81.49889214681387,67.3180507812042,92.48439160199977,33.190177926940876,25.893793429549337,44.13196000262472
38,169.55817021651706,-0.009930730386341628,-32.79408742378346,53.0,63.0,32.0,105.2882700578797,110.26304294326692,156.00402239042396,3.2361701871528474,3.3890762201866926,4.794983962204747,1.671242381871106,1.7502070308455069,2.476254323657523,281112.0636894885,1130616.4579740646,1319214.288457479,,5.967869915207117,4.419858565307333,46.31259594690374,74.44716738268279,58.940526276497266,,33.301302730137444,16.518567991411956
39,169.55866112139176,-0.009518256074739304,-32.79229942704669,27.0,19.0,37.0,134.12776653520535,143.05913921259338,204.71409201506145,4.12258914589455,4.397106354440437,6.2921505036127865,2.129012167225482,2.2707799875014816,3.2494300319851024,754840.6704610003,1267305.683488558,2112245.0915241293,1.977281237647422,3.6013910896059667,4.951499756617446,70.4049951406146,74.38251557367961,76.66260505412126,22.00738102433597,32.712884112937736,34.067974121646124
40,169.55083526836316,-0.016097005073049668,-32.79214146976337,33.0,47.0,3.0,534.4627311033802,565.8802515344986,588.6723217146803,16.427398375813706,17.393056211368982,18.093599757008512,8.483535414339366,8.982226214833311,9.344005106582227,2840036.7017447967,1186373.6883251986,722442.5922196265,3.887197498228204,4.908930482902258,2.580326115294476,93.63743163496018,72.65766838760167,54.346364267699116,47.22820443468969,28.496048720869236,
41,169.56206029692174,-0.006660834669178986,-32.79150529028012,58.0,18.0,29.0,108.35806665811087,118.00176136276121,200.68712327703602,3.330524327769178,3.626935668558015,6.168376448179731,1.7199693120335058,1.8730438311549398,3.185509893286285,1181870.3743400492,1543337.1944155912,1759916.160438301,5.847176632713481,5.340513843645146,5.6510802034962175,78.55067012573409,58.21926851782435,77.21887043295835,21.778323214032408,13.421786912863547,35.55488807649504
42,169.56530140106153,-0.003936338706362107,-32.78860836697422,21.0,43.0,31.0,175.21715276485284,229.47777708420585,254.22810328802882,5.385524196985196,7.0532941647324225,7.8140272239714825,2.781224647061156,3.6425043981619982,4.035366718857599,2345814.6292674146,4098561.910749517,2029914.5948304532,5.713262677682497,6.275178857043329,2.322446285444781,103.41984114282938,87.82311064167672,84.92071731307082,54.353901278439494,43.7369099854619,41.4968547796438
43,169.5674026088012,-0.0021699217745559754,-32.7880183880969,31.0,42.0,14.0,166.25824147501328,229.47777708420585,291.2645288986815,5.1101605538216415,7.0532941647324225,8.952389325789762,2.639019705952592,3.6425043981619982,4.623246490455261,2029914.5948304532,1899904.8490204187,1387892.9769739886,2.322446285444781,4.470650956508358,2.3961491719671475,84.92071731307082,100.15954938708357,68.51004937446052,41.4968547796438,48.80108180687176,19.419573099188174
44,169.56294702207856,-0.005914971399532722,-32.79812746632489,54.0,80.0,65.0,126.87311233642966,166.98137476010172,192.5639214238348,3.8996080329626435,5.1323869839572565,5.918699407735404,2.013858925975074,2.6504980120651065,3.0565701813307107,1727882.4821166915,916028.1277907888,1722263.6766954053,3.1031102943777595,4.697028822299301,4.590170736463273,77.17873687530619,66.19137294904085,81.23242187396343,32.62003400626201,22.686107506471025,37.20631394043431
45,169.56538354595762,-0.0038669096905143046,-32.79716110156631,81.0,56.0,90.0,78.69227379851506,92.67411423465755,161.63488732478837,2.4187080886221186,2.8484579093390767,4.968055826890692,1.2490837110875406,1.4710176862644055,2.565633132139498,359036.7749057393,1753472.903641161,841681.9991457753,1.2453380295981262,3.726545416477512,3.440363714563968,59.610034339920716,71.14653752471696,62.3052388408679,,30.15347428708825,21.215182311413134
46,169.5653086442239,-0.003929958299045056,-32.79519936636628,56.0,45.0,81.0,151.76444651218418,241.85030073487442,320.1119974535689,4.664675153295743,7.4335795674285245,9.839053316572748,2.4089594684473683,3.8388936624583234,5.081142816723316,1753472.903641161,550559.6050021985,359036.7749057393,3.726545416477512,3.8177067198367554,1.2453380295981262,71.14653752471696,56.087662444911054,59.610034339920716,30.15347428708825,13.9206235815397,
47,169.5555548766769,-0.012129193927880895,-32.79445380213072,64.0,32.0,33.0,114.31388163275028,126.7105791122904,144.83414691344518,3.5135839492306293,3.8946123656001532,4.45166349551898,1.8145060576627023,2.0112790335284187,2.298954712911829,356976.6804024512,1319214.288457479,2840036.7017447967,3.5980263999362125,4.419858565307333,3.887197498228204,65.08117522970423,58.940526276497266,93.63743163496018,24.793678726548137,16.518567991411956,47.22820443468969
48,169.56166505046102,-0.006992939555807171,-32.79351241878035,35.0,34.0,18.0,89.04257062986488,102.77268327365843,133.313063272538,2.736837753164841,3.1588503969253403,4.097548194907598,1.4133741369819819,1.6313124329152136,2.1160803694053647,1034576.013040193,1777833.774824198,1543337.1944155912,2.992879088843269,7.140516814684465,5.340513843645146,59.29610221086991,79.27691293557463,58.21926851782435,16.677394693921958,36.418552509857896,13.421786912863547
49,169.5729003079248,0.002452057355358905,-32.78169968470086,23.0,14.0,83.0,713.5229989051004,781.4683330866983,894.3182346259537,21.931045648629407,24.01943274734181,27.48801938841505,11.325761887382546,12.404259255344416,14.1955275337453,732382.0309659647,1387892.9769739886,941958.4369847887,1.7831071543211403,2.3961491719671475,2.9020838622566014,73.40190256692102,68.51004937446052,52.493368423699074,31.429780755653315,19.419573099188174,
50,169.56066268504148,-0.00783516036605835,-32.798001493119656,65.0,70.0,89.0,116.20774269167048,171.40916379691924,206.1036672884913,3.5717942008960635,5.268480765990849,6.334860884077831,1.84456734431223,2.720780377728877,3.2714867823570053,1722263.6766954053,584790.9232900376,1506484.849871979,4.590170736463273,1.5461100585187515,3.980056036282631,81.23242187396343,60.4022875428851,86.00405406983737,37.20631394043431,14.52510434764873,40.73292169355848
51,169.5564601535268,-0.01136806785656699,-32.79549506458224,91.0,64.0,74.0,60.98934091620975,116.12934963104016,148.17550717646628,1.8745857130964247,3.5693846895084027,4.5543644940421935,0.9680847764477738,1.8433230100165103,2.3519921774042265,600341.7580203954,356976.6804024512,1300843.6943856971,6.990470710739835,3.5980263999362125,6.313314077579322,62.0930599053315,65.08117522970423,72.97412154922299,19.047451647426676,24.793678726548137,30.93682532750777
52,169.55843445925615,-0.009708419435254028,-32.795759533708264,25.0,74.0,61.0,93.37946011896831,110.1882962143219,127.22885842934194,2.8701376208699307,3.386778783485852,3.910542345963,1.4822136526820366,1.7490205748305063,2.0195056893546344,1196234.1842721596,1300843.6943856971,551965.42911478,6.7571808314343444,6.313314077579322,3.962037536765338,92.37534519984652,72.97412154922299,50.48357751649492,47.38204459915586,30.93682532750777,
53,169.55915489168532,-0.009102968585638038,-32.794299398072305,63.0,26.0,38.0,65.33329197759025,85.08469060341511,105.2882700578797,2.008102627293635,2.6151872280029846,3.2361701871528474,1.037036380596671,1.3505506444986526,1.671242381871106,1130616.4579740646,849889.4865687555,1005697.5542849087,5.967869915207117,7.9481072387133445,1.7377287765179052,74.44716738268279,71.49299539529555,69.93943939216597,33.301302730137444,,
54,169.562603224179,-0.006203893559301906,-32.799115744058405,80.0,44.0,65.0,46.40022577820466,126.87311233642966,143.929281918716,1.42617052458019,3.8996080329626435,4.42385130791507,0.7365115202889629,2.013858925975074,2.2845917764875563,916028.1277907888,502482.2799923159,1722263.6766954053,4.697028822299301,4.174230925958286,4.590170736463273,66.19137294904085,64.32998164721216,81.23242187396343,22.686107506471025,22.341004521275373,37.20631394043431
