cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
31,169.56712826146025,-0.0023347296754288485,-32.807144064479324,39.0,35.0,27.0,143.84865820862015,182.56149377080527,280.74151442915417,1.8819694563566485,2.388448800719583,3.6729362780758703,0.9589910547241344,1.2170766251387022,1.8716100961943607,3204488.788876154,2022631.8988078746,1260238.3380613462,7.8989670274105,6.254566519339221,4.421472035664989,165.27740774919377,136.48712539939862,162.07966900130236
32,169.56782060122367,-0.0017529489430407655,-32.80054220308085,34.0,22.0,26.0,286.5524953994217,287.10686924799563,324.31706883745437,3.748961239543727,3.7562141028196985,4.243034487273584,1.910349969329478,1.9140457949866376,2.162113792249696,2479831.690841513,4428321.394083607,4669476.690720305,5.190454426703546,4.519020312547304,3.1507119223145197,142.41507091287988,149.10790975509644,160.79211595302675
33,169.57445326862626,0.003822233904006203,-32.800120322435,38.0,47.0,41.0,177.7885336703271,190.69963251691368,293.387507758419,2.326004247969694,2.4949199262934947,3.8383835855957686,1.1852568911355141,1.271330883446092,1.9559167183894608,1989895.2153700711,5037492.999389595,1929871.839078212,3.3596439275859478,4.246666447435236,8.26961978662703,114.23466056683962,172.89185523264194,116.426883791719
34,169.5705280901811,0.0005228647873269259,-32.800063907973275,41.0,26.0,32.0,145.99518772116915,277.7346132009739,286.5524953994217,1.9100524640822167,3.6335970423806048,3.748961239543727,0.9733012514744612,1.8515640880064927,1.910349969329478,1929871.839078212,4669476.690720305,2037360.6713687074,8.26961978662703,3.1507119223145197,0.33000833367399807,116.426883791719,160.79211595302675,174.5988479743601
35,169.565610537963,-0.0036103442256477493,-32.807897660605306,31.0,42.0,45.0,182.56149377080527,195.47688763669186,199.4759619531495,2.388448800719583,2.557420670705075,2.60974048940202,1.2170766251387022,1.303179250911279,1.32983974635433,1574470.9915709335,1691066.2978716951,481433.34739377355,6.0195595702066065,10.808817306002817,5.957843831872345,123.7203133874483,131.647716293516,116.33521900322705
36,169.56467640167057,-0.004395564103984145,-32.806161358311485,42.0,35.0,31.0,190.66959876098977,234.80864453068543,281.3296537490633,2.494526995194849,3.0719973519278496,3.6806308944173463,1.2711306584065991,1.565390963537903,1.875531024993756,1691066.2978716951,2022631.8988078746,1574470.9915709335,10.808817306002817,6.254566519339221,6.0195595702066065,131.647716293516,136.48712539939862,123.7203133874483
37,169.5620395945198,-0.00661203286059755,-32.80333357611781,40.0,30.0,29.0,321.8478873301708,322.21044717867983,374.9160625351629,4.210730229195842,4.215473593294556,4.905020228728095,2.145652582201139,2.1480696478578656,2.4994404169010864,3734827.510794209,8847505.183127347,4566414.24143393,6.462050424322981,5.400238642308584,4.100206869151922,131.97727338832138,179.01822336174854,189.29218538578183
38,169.5733172636983,0.002867382278726639,-32.79903862040505,33.0,41.0,34.0,177.7885336703271,264.9430620918119,315.30846717193737,2.326004247969694,3.4662454049954654,4.125175110689072,1.1852568911355141,1.7662870806120796,2.102056447812916,2403231.905617376,1929871.839078212,2479831.690841513,14.318767913154705,8.26961978662703,5.190454426703546,134.67295416603812,116.426883791719,142.41507091287988
39,169.5684076626995,-0.0012593877069784608,-32.80759847387507,31.0,48.0,35.0,143.84865820862015,278.87132940397544,292.0218207450724,1.8819694563566485,3.648468680400976,3.8205163265050808,0.9589910547241344,1.8591421960265029,1.9468121383004828,1574470.9915709335,1788864.981871184,2022631.8988078746,6.0195595702066065,5.139953073276941,6.254566519339221,123.7203133874483,140.89274599337776,136.48712539939862
40,169.55904646081206,-0.009127938823092636,-32.80263170900341,30.0,37.0,14.0,245.0550420141198,321.8478873301708,533.8493264281111,3.206050789350581,4.210730229195842,6.984341315003443,1.6337002800941325,2.145652582201139,3.558995509520741,8847505.183127347,11903104.341059586,6032506.419291272,5.400238642308584,6.354321551850402,6.122656545252232,179.01822336174854,174.18005212561286,187.30167723873492
41,169.57170911767687,0.0015155853184417782,-32.800710693006955,34.0,47.0,38.0,145.99518772116915,245.11187764282784,264.9430620918119,1.9100524640822167,3.2067943688777967,3.4662454049954654,0.9733012514744612,1.6340791842855191,1.7662870806120796,2479831.690841513,5037492.999389595,1989895.2153700711,5.190454426703546,4.246666447435236,3.3596439275859478,142.41507091287988,172.89185523264194,114.23466056683962
42,169.5637794986979,-0.0051493402455905935,-32.80751274017747,46.0,36.0,35.0,110.54236463833277,190.66959876098977,195.47688763669186,1.4462238054460683,2.494526995194849,2.557420670705075,0.7369490975888852,1.2711306584065991,1.303179250911279,247403.36802785133,3396757.318512237,2022631.8988078746,5.362652219769228,12.871491260489773,6.254566519339221,130.75486714826337,181.21864509814625,136.48712539939862
43,169.5755143496263,0.0047145017322951215,-32.79333445505529,38.0,33.0,26.0,738.8012168257657,843.3535761525052,889.1459593770941,9.66572327959258,11.03357995127308,11.632680892746375,4.925341445505103,5.622357174350038,5.927639729180628,1989895.2153700711,2403231.905617376,4669476.690720305,3.3596439275859478,14.318767913154705,3.1507119223145197,114.23466056683962,134.67295416603812,160.79211595302675
44,169.54380529527037,-0.02193939248265136,-32.80012687075307,66.0,10.0,24.0,1382.647437475247,1505.0614994839145,1534.222248323356,18.089152020204747,19.690693032806664,20.072202595174122,9.217649583168312,10.033743329892765,10.228148322155713,1066757.169269182,5232376.797619668,7105528.950106257,3.9631530051213395,6.22167748139497,7.677108439253983,135.04741904639033,159.0298104102136,205.49835112285226
45,169.56529368689448,-0.003876585340321801,-32.809494474258145,50.0,35.0,55.0,135.61041095829654,199.4759619531495,235.1018908903329,1.7741886129890447,2.60974048940202,3.0758338888752013,0.9040694063886436,1.32983974635433,1.5673459392688862,1740401.1093881715,2022631.8988078746,4534270.325452358,8.194516287792535,6.254566519339221,7.93043014683374,100.33194589081356,136.48712539939862,173.8867979480978
46,169.56336662758258,-0.005496305426613178,-32.80834004010827,42.0,35.0,49.0,110.54236463833277,238.69606912025318,243.0447425916321,1.4462238054460683,3.122856459218556,3.1797500774887686,0.7369490975888852,1.5913071274683548,1.6202982839442142,1691066.2978716951,2022631.8988078746,4607289.949664583,10.808817306002817,6.254566519339221,8.890228123890733,131.647716293516,136.48712539939862,186.97911262739103
47,169.5738383011326,0.003305259232452368,-32.80157905578625,33.0,41.0,53.0,190.69963251691368,245.11187764282784,274.77766751730235,2.4949199262934947,3.2067943688777967,3.5949113741924115,1.271330883446092,1.6340791842855191,1.8318511167820155,2403231.905617376,1929871.839078212,4181178.3003776674,14.318767913154705,8.26961978662703,6.375158887141621,134.67295416603812,116.426883791719,225.21608097104422
48,169.57107360562532,0.0009813198272361873,-32.807916714776155,57.0,39.0,51.0,155.72815748300096,278.87132940397544,357.32478660360016,2.0373887356854268,3.648468680400976,4.6748738762085615,1.03818771655334,1.8591421960265029,2.382165244024001,1738228.9024069696,3204488.788876154,3287731.8247476383,6.967533267628841,7.8989670274105,8.031842096652822,137.95077163432674,165.27740774919377,168.10891404266567
