cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
63,169.54839225745266,-166.7353256541103,-32.79849009912174,49.0,49.0,357.47174423546124,388.3689768333679,44047755.61647455,47854920.16204916,68.0,41.0,508.4343511827493,644.0125228195311,79355380.32460219,40.0,71.0,580.2452648034773,734.5153396398375,90507159.51327452
64,169.55609850872702,-166.74703951659373,-32.79812569953777,48.0,48.0,331.1804276016042,435.3812943746127,40808133.160718486,53647789.40951856,43.0,43.0,355.2115680656821,445.01677368463044,54835075.52300701,75.0,75.0,445.9791534819226,516.615938790637,63657542.13132063
65,169.54384903477285,-166.72841850594824,-32.79997490498752,74.0,89.0,535.0704420995669,639.5108904440405,65931510.53549117,78800688.08403109,76.0,40.0,579.8834064963455,639.5242404217659,78802333.07154638,63.0,74.0,588.9556553464909,711.623757576276,87686453.18145865
66,169.57522842440943,-166.77610646846074,-32.78859709140563,59.0,78.0,474.9831938441585,566.7544208813168,58527545.132627554,69835618.13795616,78.0,59.0,565.9182149926067,586.3674841743339,72252344.58627711,51.0,51.0,618.3512427405651,850.2166072815754,104763897.96542664
67,169.5621185128913,-166.75618836742333,-32.80349482029668,57.0,57.0,366.8188470872284,437.8949974643376,45199507.912358105,53957528.51806094,55.0,79.0,403.9482169471987,446.71961200457383,55044899.67661012,72.0,55.0,429.08302083152233,511.71787765210485,63054001.8417628
68,169.5524429524561,-166.74148322922184,-32.7992759718733,71.0,71.0,440.44522935664554,473.4183060436231,54271768.71457763,58334719.27571232,43.0,43.0,462.4657312275597,524.5420669856913,64634201.583013244,64.0,75.0,472.2120353254551,624.7254725653448,76978825.28253576
69,169.57355417491874,-166.77356317990052,-32.798879942279996,53.0,53.0,171.254282008089,191.03081852498565,21101994.447981928,23538864.106868193,84.0,77.0,284.77358086996594,339.42355497400024,41823853.32845183,77.0,84.0,339.2664154551204,389.4513452275485,47988289.859885916
70,169.5682222840125,-166.76546287687043,-32.80751107191595,61.0,61.0,288.210040604681,288.2966981566058,35513311.58192796,35523989.54663723,85.0,90.0,353.0595654962777,390.94599928227393,48172461.49749192,60.0,83.0,378.5701751307526,490.9464059915602,60494536.03152092
71,169.5512123905159,-166.73961269464183,-32.80263192874429,68.0,86.0,440.44522935664554,471.284381779978,54271768.71457763,58071776.606858484,86.0,68.0,469.5227664576564,473.4183060436231,58334719.27571232,63.0,63.0,617.4293742222798,734.5153396398375,90507159.51327452
72,169.5587566100684,-166.75107934250568,-32.80258727616641,57.0,57.0,279.4344218807315,365.0352699261743,34431977.69982602,44979735.099037535,80.0,80.0,282.5726011979419,386.42209483387296,47615024.88665816,67.0,82.0,429.08302083152233,579.0096783022175,71345713.94999675
73,169.56823698764148,-166.7654852166226,-32.80196655910595,54.0,54.0,194.53043390378713,203.21287295596724,23970087.568422593,25039939.828615375,62.0,61.0,376.7325313145624,395.2389535591202,48701440.3717905,61.0,52.0,395.1332444122016,519.6773442611535,64034769.26096876
74,169.54052484991234,-166.72336410295745,-32.79718095581453,65.0,76.0,535.0704420995669,567.951858959688,65931510.53549117,69983166.750378,76.0,65.0,544.463184285868,711.623757576276,87686453.18145865,40.0,45.0,615.8208675082271,817.4986665895038,100732385.32388645
75,169.55424968583176,-166.74422946004645,-32.79501416235761,43.0,43.0,116.51622299285232,116.7458116626747,14357157.449522102,14385447.421481356,28.0,28.0,256.5692425721464,342.53294151312423,42206992.69709036,64.0,64.0,445.9791534819226,516.615938790637,63657542.13132063
76,169.53937965358406,-166.7216227251049,-32.80144859099868,89.0,74.0,528.897242797706,567.951858959688,65170847.41006928,69983166.750378,74.0,89.0,544.463184285868,670.2701674957175,82590853.71351165,65.0,65.0,579.8834064963455,856.8405462467248,105580101.342226
77,169.57362746571053,-166.77367451575756,-32.80163230005858,53.0,53.0,202.5260651757346,223.6883360812614,24955311.206222065,27562931.394860752,84.0,69.0,283.37356180988564,339.42355497400024,41823853.32845183,69.0,84.0,339.2664154551204,381.44009168185914,47001141.24170113
78,169.5754468577923,-166.77643827308765,-32.79318463137992,88.0,88.0,338.5711229466118,379.36507931132667,41718816.44587985,46745457.710702464,59.0,59.0,382.56598229305786,535.4295627293845,65975761.46719172,81.0,66.0,440.8667995459174,566.7544208813168,69835618.13795616
79,169.5615234943387,-166.755284164744,-32.80700562683309,99.0,99.0,370.21003071672465,383.9975003680237,45617370.387284935,47316265.764509365,67.0,67.0,438.7715210733948,446.71961200457383,55044899.67661012,60.0,107.0,453.7935987432073,651.6137216958012,80292001.90628901
80,169.55688751717975,-166.74823869733927,-32.8039159614423,82.0,82.0,236.73269954231478,242.99897234566475,29170261.045862444,29942392.71086563,72.0,72.0,282.5726011979419,386.42209483387296,47615024.88665816,57.0,101.0,560.8589300648175,702.7575816957369,86593960.8244084
81,169.57875912501189,-166.7814694123409,-32.79453743778092,91.0,91.0,277.37412881981436,278.0094963829368,34178107.885752484,34256398.03203218,88.0,88.0,292.52616666078353,415.800694373998,51235063.0960147,78.0,78.0,440.8667995459174,641.9579286940854,79102212.73474908
