cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
49,169.5557110870303,-166.74645068052635,-32.78392285591593,40.0,40.0,112.41928661131956,169.62202054050016,13852331.948150078,20900866.79136025,64.0,64.0,136.98070165871948,200.3631933538884,24688801.61217793,32.0,32.0,220.11303034570412,236.82878585293307,29182100.82452035
50,169.56097513058242,-166.75445084573045,-32.780768414184664,65.0,65.0,173.56870802258177,246.82396118418944,21387178.58665231,30413708.769580755,55.0,55.0,218.8414570115155,307.55683585308174,37897228.416770734,42.0,51.0,275.732810172696,351.6885125020663,43335144.390066035
51,169.5611323500412,-166.75468976508392,-32.77792428612786,56.0,56.0,234.31598706019793,350.166162933994,28872473.143673874,43147560.104542404,55.0,50.0,293.7298830391748,351.6885125020663,43335144.390066035,50.0,55.0,350.98919105289076,351.97646843377476,43370626.39028772
52,169.56593854817964,-166.7619929981716,-32.78929252958462,137.0,137.0,116.41938720221155,146.43162859331326,14345225.319752809,18043341.03271704,97.0,97.0,128.92331290838752,162.51905224368494,20025637.303337835,98.0,98.0,239.8399329437933,319.5393828350399,39373720.781931095
53,169.55660489346883,-166.7478091526359,-32.78778345488805,34.0,34.0,82.48098304695995,103.04716648770587,10163326.872252041,12697497.017920569,35.0,38.0,167.91330517783825,206.28636622049947,25418656.419193856,38.0,35.0,205.63890852382457,208.44285117661906,25684379.022083532
54,169.56514039425716,-166.76078023871756,-32.786276640093575,82.0,59.0,194.08571877014586,217.74829299153328,23915289.661059387,26830997.834832773,59.0,97.0,196.29272031554098,276.60334402483915,34083131.59509607,48.0,82.0,254.50591021142574,284.7735258494494,35089863.39461852
55,169.562507847301,-166.7567799996408,-32.77987118408171,56.0,65.0,192.39701905587953,199.2655695283562,23707207.669900335,24553552.136364773,65.0,56.0,195.08290394814978,203.49443533936267,25074634.01425267,50.0,50.0,218.8414570115155,307.55683585308174,37897228.416770734
56,169.56297798670857,-166.75749441407484,-32.778382237319406,55.0,55.0,192.39701905587953,203.49443533936267,23707207.669900335,25074634.01425267,51.0,51.0,234.31598706019793,350.166162933994,43147560.104542404,50.0,65.0,383.8715589071246,401.24976120942875,49442093.55825335
57,169.55512266984582,-166.74555634185168,-32.79115828752247,71.0,71.0,168.7977324295317,187.5998294796987,20799297.80904206,23116096.79888747,78.0,58.0,213.24262103290144,251.1183589814808,30942865.514821075,61.0,84.0,219.89809749995786,284.2695651153406,35027765.229898386
58,169.55529456992565,-166.745817615367,-32.78913714147636,71.0,31.0,133.5555078601754,158.86640992366242,16456742.291732647,19575557.824718207,31.0,71.0,136.91290696952032,170.5732605731168,21018078.82046459,34.0,34.0,149.86382078194677,193.8956500424512,23891869.346019566
59,169.56447179536823,-166.75976431057774,-32.78772256497664,97.0,97.0,135.85040718318635,173.43290818856408,16739520.346710373,21370445.2979434,45.0,54.0,157.92498136582716,217.74829299153328,26830997.834832773,54.0,45.0,196.29272031554098,232.5617373707615,28656314.068567574
60,169.56200461737967,-166.7560152906322,-32.79243663003839,87.0,87.0,120.87145613019801,123.75910916286495,14893810.340219425,15249627.652046746,103.0,103.0,149.11306816731118,159.57917692025617,19663385.148090567,81.0,81.0,154.69730957999624,191.38047000542753,23581948.24767038
61,169.5568546280943,-166.7481887111552,-32.79072805961454,78.0,78.0,112.13885673367092,112.55404734558424,13817777.310147446,13868937.19873368,38.0,38.0,158.55289651907802,159.67404811754452,19675075.200187236,57.0,115.0,219.89809749995786,268.1280876748077,33038808.438054428
62,169.5637907526937,-166.7587294538121,-32.789352269480425,45.0,45.0,162.76447758986345,179.09104547117954,20055878.674424883,22067642.355579782,97.0,59.0,205.7699858558096,237.87779984063803,29311360.584246296,59.0,97.0,217.64183157508955,289.6290978957235,35688168.16785281
63,169.56983006528944,-166.76790557980982,-32.788296301600845,98.0,117.0,296.49787545604215,306.11536962856763,36534540.616136596,37719610.59659142,117.0,98.0,304.89796541149815,449.13118532732295,55342054.33032646,153.0,136.0,421.2709818260971,462.164909011113,56948072.945375614
64,169.55467432394735,-166.74487488799863,-32.78432403002886,40.0,40.0,35.638892575340975,40.48503720606444,4391433.045870042,4988576.170658092,49.0,32.0,136.98070165871948,175.37143203186776,21609310.67928751,32.0,49.0,165.21003197864644,200.3631933538884,24688801.61217793
65,169.56221978540995,-166.75634226169993,-32.7814279622766,50.0,55.0,173.56870802258177,199.2655695283562,21387178.58665231,24553552.136364773,55.0,50.0,195.08290394814978,246.82396118418944,30413708.769580755,56.0,56.0,386.74886857183094,401.24976120942875,49442093.55825335
66,169.55017536937336,-166.7380363024482,-32.781406410113156,79.0,79.0,393.0458123551137,394.619899706541,48431200.97708503,48625160.40490762,105.0,105.0,530.6206381899583,601.520388227185,74119489.1238891,41.0,74.0,570.0492687449766,770.2737898808102,94913324.48389874
67,169.56007516721724,-166.75308319065044,-32.794404634154205,113.0,132.0,146.98367617156143,207.15828535256958,18111364.470114443,25526094.507563308,132.0,76.0,176.5805120679584,208.64104321703851,25708800.29370095,85.0,113.0,183.43953018585967,217.0722318858942,26747693.420307137
68,169.5597095483313,-166.75252755715965,-32.79150795880867,70.0,70.0,142.36321123827443,144.56276481092905,17542029.652753722,17813059.18108986,76.0,76.0,154.79997063772,155.43901469315412,19153233.347472087,96.0,96.0,171.05264168891665,237.30423958878762,29240686.3499544
69,169.56120394397024,-166.7547985627996,-32.79062855506148,87.0,72.0,160.33913716431852,202.48057031030245,19757027.63494023,24949705.31779403,72.0,87.0,201.88963326542722,212.50858303809233,26185359.494873926,70.0,60.0,208.60847241154218,268.5399068268596,33089552.894533247
70,169.55953138847008,-166.75225680426087,-32.79036642218956,68.0,68.0,142.36321123827443,144.56276481092905,17542029.652753722,17813059.18108986,69.0,44.0,208.60847241154218,251.01231558032714,30929798.821035955,44.0,96.0,247.63551494114563,297.8702757617004,36703648.116929136
71,169.55454227856438,-166.74467418671148,-32.7899174270896,58.0,58.0,133.5555078601754,170.5732605731168,16456742.291732647,21018078.82046459,57.0,57.0,168.7977324295317,187.5998294796987,23116096.79888747,31.0,31.0,214.73434037964543,216.2458224166956,26645863.043709807
72,169.56131358031877,-166.754965171237,-32.788993782000766,44.0,69.0,198.79845193529258,202.48057031030245,24495993.79248104,24949705.31779403,69.0,39.0,201.88963326542722,267.77073985862825,32994775.952883277,39.0,46.0,224.2468466317386,275.87591235033074,33993497.28653006
73,169.57470324071775,-166.77530869536358,-32.78626537529836,167.0,167.0,242.5631551336665,303.5446554488069,29888691.20758008,37402846.56761317,118.0,118.0,347.6802652635493,355.33649693534346,43784649.92274348,176.0,176.0,372.5266695090115,392.0347048152339,48306612.05911656
74,169.548364732077,-166.7352838095192,-32.787019005161376,89.0,105.0,220.1162184581681,225.2521584866527,27122774.18906024,27755625.973526165,105.0,89.0,223.52171703255067,237.1076276714204,29216459.78148533,79.0,79.0,356.1549055516324,418.7495917735555,51598426.95368567
75,169.55931244589465,-166.75192407116955,-32.796064151542495,123.0,123.0,115.58709426791619,171.9693235182258,14242669.981149562,21190102.037468478,113.0,113.0,164.87848802126783,172.94096504172958,21309827.943261817,142.0,142.0,168.23448150161025,188.6636268600554,23247178.17186595
76,169.55980940437627,-166.7526793096558,-32.79276027082378,85.0,68.0,147.52559349712274,155.43901469315412,18178139.655302048,19153233.347472087,68.0,67.0,154.79997063772,208.64104321703851,25708800.29370095,96.0,85.0,167.7423234804807,216.04687254067503,26621348.39140456
77,169.5508063833843,-166.7389955224933,-32.79212942636237,114.0,114.0,207.3533279909195,247.42935579968437,25550127.70908866,30488305.64193463,88.0,88.0,281.60057573275714,335.3072032986466,41316635.46983413,144.0,144.0,284.2538751468299,366.0385042606378,45103353.87871204
78,169.55678614027283,-166.74808462039434,-32.79163554735736,61.0,61.0,112.13885673367092,112.55404734558424,13817777.310147446,13868937.19873368,115.0,115.0,152.3705255225766,157.0792395240172,19355342.251661003,95.0,95.0,197.13884919985907,245.71822628422274,30277459.845195115
79,169.5499257785251,-166.73765688832475,-32.7845864130306,105.0,105.0,230.149708494042,338.4157015032772,28359103.281379763,41699665.37767947,74.0,66.0,356.1549055516324,394.619899706541,48625160.40490762,66.0,74.0,393.0458123551137,418.7495917735555,51598426.95368567
80,169.56759870159357,-166.76451543682805,-32.78399385223316,48.0,48.0,194.13541278648165,209.46551759938976,23921412.969887167,25810392.22842441,90.0,90.0,283.82843822986257,288.93984422797286,35603238.162602276,82.0,82.0,368.6041290753364,393.6349283745683,48503791.996859714
81,169.56280378943597,-166.75722970853226,-32.79340486966701,103.0,60.0,149.6716156918778,191.38047000542753,18442573.034181464,23581948.24767038,60.0,86.0,154.69730957999624,199.62665219985988,24598044.831320997,86.0,103.0,155.61174171753396,226.13346752356225,27864221.08826288
82,169.5666187412253,-166.76302649894765,-32.78682021061407,48.0,48.0,174.63303092455573,184.4811627351394,21518324.714532796,22731813.921069045,98.0,98.0,181.94273640480495,215.38181844825965,26539400.263736174,54.0,54.0,194.08571877014586,284.7735258494494,35089863.39461852
83,169.57043687471733,-166.76882747580532,-32.781755914414994,119.0,119.0,152.05133105623125,217.80188732484936,18735802.14248482,26837601.741671294,99.0,99.0,262.81975671425676,358.9357123001476,44228146.11889466,90.0,90.0,302.4458382226388,459.47972381453707,56617203.76975247
84,169.55561405496346,-166.74630320198804,-32.79334105325144,115.0,101.0,126.95127322021915,147.84634939797067,15642966.88669522,18217663.27573059,101.0,115.0,147.8260077179667,179.66258104122568,22138067.108085345,94.0,94.0,160.5080936845732,218.9976512844111,26984944.06876462
85,169.5609287975726,-166.7543804353257,-32.79318497009234,103.0,103.0,95.97571341606383,134.93233325367677,11826150.843639761,16626395.052929793,76.0,76.0,147.52559349712274,216.04687254067503,26621348.39140456,60.0,67.0,161.4796995493355,219.4020849575178,27034778.48472434
86,169.56369073878906,-166.75857747912272,-32.79250588489777,81.0,81.0,155.61174171753396,199.62665219985988,19174516.813594747,24598044.831320997,116.0,116.0,205.83922662083617,268.8325444652483,33125611.775795307,60.0,87.0,207.93947025273437,307.8965372403426,37939086.50466141
87,169.56219313028146,-166.75630175646424,-32.79147397598703,60.0,60.0,120.87145613019801,123.75910916286495,14893810.340219425,15249627.652046746,69.0,69.0,160.33913716431852,212.50858303809233,26185359.494873926,86.0,81.0,224.10057518791933,263.9746185239398,32527016.95504007
88,169.5495161454239,-166.73703418086814,-32.79024313884268,89.0,89.0,201.783014188751,215.02975427751954,24863752.282158755,26496018.830646284,77.0,77.0,281.60057573275714,335.3072032986466,41316635.46983413,104.0,104.0,311.4275326980375,391.1823018116144,48201578.752860464
89,169.54898946106135,-166.73623352591753,-32.788692567329704,88.0,88.0,201.783014188751,215.02975427751954,24863752.282158755,26496018.830646284,74.0,74.0,220.1162184581681,237.1076276714204,29216459.78148533,105.0,105.0,440.2270276101228,455.2557267465841,56096721.81957254
90,169.5679825860421,-166.7650986937693,-32.78172264247843,99.0,99.0,173.26436795140177,200.77607334750823,21349677.72876406,24739676.78581381,119.0,119.0,177.69573317149204,260.1160537530746,32051563.661742967,80.0,80.0,283.82843822986257,288.93984422797286,35603238.162602276
91,169.56473517944667,-166.76016452195728,-32.79859000387706,139.0,139.0,36.406168374962114,49.46915443797439,4485976.957262059,6095601.289824617,158.0,158.0,157.61817351476222,161.3968487962297,19887359.120509166,130.0,121.0,207.6088375314401,248.50054865968556,30620298.287720826
92,169.56310536348136,-166.75768797157693,-32.79796009341174,107.0,93.0,151.04868469203902,159.11848482809626,18612255.812650718,19606618.55599725,93.0,107.0,159.1111653084505,161.42224612719406,19890488.58583242,160.0,160.0,190.61830729205093,216.92157126764803,26729128.982136708
93,169.5630945379987,-166.75767152156203,-32.7966688642411,109.0,92.0,153.69389927441566,159.11848482809626,18938199.79943171,19606618.55599725,92.0,109.0,159.1111653084505,165.52924636820944,20396554.15842741,163.0,163.0,181.28662523651366,264.5292875211909,32595363.404327147
94,169.55667045416,-166.7479087951499,-32.79410316687383,101.0,110.0,138.91163207066504,152.19012572285254,17116725.224872474,18752904.45519846,110.0,115.0,151.13719786557965,158.0726023389725,19477744.66029116,115.0,101.0,156.55419582227967,201.91289008145998,24879755.621373024
95,169.55782621264626,-166.7496653450199,-32.79285123555769,96.0,96.0,114.45459419405684,152.70859559547574,14103123.045501025,18816790.439509343,102.0,102.0,157.78996785800882,164.62703881010702,20285383.922806058,115.0,115.0,161.5136778734186,245.46961662614638,30246826.102418426
96,169.55854310215759,-166.75075486129415,-32.79226059698888,95.0,95.0,114.45459419405684,152.70859559547574,14103123.045501025,18816790.439509343,76.0,102.0,167.7423234804807,236.34457779310827,29122436.589148946,68.0,68.0,171.05264168891665,237.30423958878762,29240686.3499544
97,169.56523659219482,-166.76092640871516,-32.788516664238756,52.0,52.0,128.92331290838752,162.51905224368494,15885962.098627867,20025637.303337835,59.0,59.0,135.85040718318635,173.43290818856408,21370445.2979434,62.0,54.0,205.7699858558096,276.60334402483915,34083131.59509607
98,169.56743649698396,-166.76426898839537,-32.788049649752104,82.0,82.0,181.94273640480495,215.38181844825965,22419028.408781543,26539400.263736174,52.0,137.0,239.8399329437933,289.74035136633915,35701876.847669296,137.0,52.0,262.6513312495374,319.5393828350399,39373720.781931095
99,169.56870231879037,-166.76619220600062,-32.78051466813919,119.0,119.0,115.42707139947504,145.46042715587885,14222951.924223922,17923669.35443664,90.0,90.0,173.26436795140177,200.77607334750823,24739676.78581381,83.0,83.0,262.81975671425676,358.9357123001476,44228146.11889466
100,169.56527693047897,-166.76098770145444,-32.79519300599783,121.0,121.0,187.92188692094513,188.04981580279545,23155780.79544174,23171544.22350256,126.0,126.0,216.31732661629272,216.8778946230691,26723747.1353262,125.0,125.0,219.58079384588518,312.6978023548457,38530699.56450156
101,169.5556314436528,-166.74632963099813,-32.79454061651979,187.0,84.0,137.86025024929208,147.84634939797067,16987173.70010375,18217663.27573059,94.0,110.0,138.91163207066504,196.18557901307696,24174034.95296267,84.0,94.0,147.8260077179667,201.91289008145998,24879755.621373024
