cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr,nearest_neighbor2,nearest_neighbor2_corr,min_distance2,min_distance_corr2,true_dist2_corr,nearest_neighbor3,nearest_neighbor3_corr,min_distance3,min_distance_corr3,true_dist3_corr
53,169.56516879061658,-166.76082338621123,-32.788398751028055,37.0,37.0,209.38362446440686,297.5574671703363,25800301.33633416,36665103.76591586,45.0,45.0,257.42162986989865,323.46413069175236,39857329.171227686,59.0,70.0,287.50865312533455,357.12972491258654,44005611.9119915
54,169.56758899249633,-166.76450068517298,-32.77825523152038,34.0,34.0,491.6101184054947,494.8206948651915,60576318.83723926,60971926.85260055,31.0,27.0,598.5153114996521,871.8520885348867,107429827.24867354,64.0,31.0,711.5762199919358,905.9913432756094,111636474.55436221
55,169.5652409656791,-166.76093305408884,-32.79517496441255,74.0,74.0,200.23505051529443,201.9918344842237,24673011.820314914,24889483.169959165,77.0,77.0,208.34144672573314,210.8256079050768,25977982.8880145,75.0,75.0,239.21435475176582,360.1059667295532,44372345.155452915
56,169.55861067935868,-166.75085756277633,-32.79433158693739,43.0,43.0,197.06524509151478,221.76064314559488,24282427.621955298,27325400.60060051,68.0,68.0,245.39017259250244,275.2432077670693,33915535.273279116,49.0,51.0,252.9494177522892,277.4316388966398,34185194.29146242
57,169.56175661186552,-166.75563841690584,-32.79362181195313,50.0,32.0,149.50288842084973,179.2333920576607,18421782.418643516,22085182.336725906,32.0,80.0,174.98847840967275,187.35230886055464,23085597.247753955,80.0,50.0,185.39569879751656,220.6430853548662,27187694.856728125
58,169.5490938948344,-166.73639228501432,-32.78871082823229,48.0,48.0,173.58841110459142,179.1295482455691,21389606.40522887,22072386.67684214,40.0,40.0,208.59943493891916,223.7269047557823,27567683.836353384,42.0,42.0,315.47588931106105,359.11056585618036,44249691.61676687
59,169.5674921762737,-166.76435358583757,-32.788183984401286,45.0,45.0,201.79310362345817,240.93271562845294,24864995.50476713,29687788.053607192,53.0,27.0,287.50865312533455,363.84172726548815,44832666.48093409,27.0,53.0,359.6309082800027,435.7962989637865,53698926.3763374
60,169.56087927529322,-166.7543051782112,-32.79806816543329,104.0,97.0,222.36904984038046,272.36560068095525,27400368.622100104,33560955.825439185,97.0,104.0,228.39230672424176,293.79336111028954,36201289.69803188,65.0,65.0,253.4559461343764,370.42394576774126,45643729.052107565
61,169.5454355657711,-166.73083064357692,-32.79518397124569,106.0,41.0,434.183563805549,557.2459938506016,53500204.75632217,68663987.43734853,78.0,78.0,449.80746985760766,603.0819582207208,74311906.15981567,76.0,106.0,501.8732614122533,650.2748698291771,80127028.25234652
62,169.54958581913226,-166.7371400965114,-32.79359701921732,78.0,76.0,182.14699369797492,253.89514318434942,22444197.042323966,31285021.542367347,76.0,78.0,253.46928735672444,258.8088628844074,31890491.283700094,47.0,47.0,256.05139316025674,316.20215976405564,38962507.34020086
63,169.5694223828653,-166.76728619856965,-32.790646566759165,98.0,98.0,307.1005030462895,334.9810723076448,37840998.97688492,41276449.52948428,107.0,59.0,360.4034651146407,471.86322218251024,58143101.46260677,90.0,90.0,369.5472952474391,518.2655724701813,63860810.396141626
64,169.57238318288466,-166.77178429644604,-32.78147461409463,93.0,93.0,271.61773800435816,402.39760078729086,33468804.00380673,49583530.63133089,34.0,44.0,549.3777900918993,747.9124507329766,92157954.81364,44.0,34.0,668.8338417186582,827.9169002160178,102016122.61539601
65,169.56279525707572,-166.7572167429499,-32.79881649190192,97.0,97.0,143.17144118559762,187.936352464658,17641619.944226265,23157563.243270416,96.0,96.0,234.54847885374113,343.1054441919617,42277536.61697735,60.0,60.0,253.4559461343764,370.42394576774126,45643729.052107565
66,169.56888148474823,-166.76646441480162,-32.79790590504701,87.0,87.0,346.13501720794125,368.0926484265339,42650841.343804196,45356466.024439566,79.0,75.0,348.4640496716716,437.1404805872373,53864556.76421756,75.0,108.0,362.7244397164174,503.56520992580084,62049428.13371046
67,169.55648923888486,-166.74763337437852,-32.795334883208994,49.0,49.0,149.6851321640674,150.10205775472255,18444238.53718528,18495612.21027575,68.0,68.0,180.31271948307966,250.92522912518854,30919068.00676795,46.0,46.0,261.4900262778292,286.6237726150114,35317851.252886735
68,169.5577266119636,-166.74951397181775,-32.79611607620274,67.0,83.0,180.31271948307966,233.1644789092194,22218177.325649273,28730584.02812109,83.0,67.0,186.88203961394007,250.92522912518854,30919068.00676795,43.0,73.0,202.63770542746488,264.294094505686,32566382.86352435
69,169.55407510989212,-166.7439641113303,-32.79614287645377,124.0,124.0,101.94091645378789,104.21713994459151,12561184.618603662,12841661.432976311,88.0,88.0,247.36028488565498,314.0539227973524,38697801.05658116,89.0,89.0,295.2441793640503,333.2151693918422,41058854.54097951
70,169.5650067351727,-166.76057714690236,-32.79128657584939,52.0,77.0,229.55065551918105,286.159602453068,28285287.82753339,35260656.09218538,90.0,52.0,251.7150613244219,304.889414128019,37568548.06044515,77.0,53.0,278.6123290627577,357.12972491258654,44005611.9119915
71,169.53848578462606,-166.72026347345778,-32.788615628058096,91.0,91.0,368.0331886047059,414.2392062238699,45349139.370674305,51042656.144852825,72.0,72.0,544.0772357963914,544.2899440889038,67067539.821946934,41.0,106.0,766.0908316890672,969.0427971286086,119405690.0947966
72,169.53859357143043,-166.72042738011686,-32.7842014580726,71.0,71.0,544.0772357963914,544.2899440889038,67041329.854201876,67067539.821946934,91.0,91.0,885.6636136910702,902.7689457321776,111239409.94217646,41.0,41.0,1092.4799754721269,1348.7067381688125,166187973.620711
73,169.556979959968,-166.74837919543145,-32.7979361980383,88.0,68.0,193.15724040012012,264.294094505686,23800882.329577718,32566382.86352435,83.0,88.0,229.22238680886477,289.91077130795793,35722876.03449077,68.0,67.0,242.41317217054973,333.44882253145545,41087645.33789891
74,169.5650523940822,-166.76064652462398,-32.796789003618464,55.0,55.0,200.23505051529443,201.9918344842237,24673011.820314914,24889483.169959165,79.0,79.0,279.3037427475145,321.6080983647103,39628628.41466111,75.0,96.0,301.8293448799508,346.04940042771176,42640291.62323737
75,169.56715052284292,-166.76383448569314,-32.79552489923412,55.0,55.0,239.21435475176582,360.1059667295532,29476051.20677163,44372345.155452915,74.0,77.0,301.8293448799508,401.59657111202034,49484827.559138924,77.0,90.0,324.2797809514562,416.2574710460826,51291347.22909023
76,169.54948162985986,-166.7369817113811,-32.795651421494355,62.0,62.0,253.46928735672444,253.89514318434942,31232547.483296767,31285021.542367347,105.0,105.0,327.3697599793647,353.9358510895498,43612061.999598116,78.0,78.0,369.9057237615409,406.75010593333747,50119847.37827418
77,169.56546987827377,-166.76128087848855,-32.79349972660327,55.0,55.0,208.34144672573314,210.8256079050768,25671883.9408832,25977982.8880145,90.0,70.0,234.8834971637041,286.159602453068,35260656.09218538,52.0,90.0,263.75064082031025,304.4775954518754,37517803.66260786
78,169.5482826357417,-166.73515900493405,-32.79289926843059,62.0,62.0,182.14699369797492,258.8088628844074,22444197.042323966,31890491.283700094,47.0,76.0,341.6037151567883,406.75010593333747,50119847.37827418,40.0,40.0,362.47687909152955,411.75562633727617,50736628.82475612
79,169.56618346553742,-166.76236513354337,-32.79875334104624,96.0,96.0,218.9307396358945,315.535351849498,26976699.199095108,38880343.10613983,74.0,74.0,279.3037427475145,321.6080983647103,39628628.41466111,87.0,87.0,316.0136445976808,406.1005168440054,50039804.85206216
80,169.5615650702255,-166.75534734484572,-32.79511415802618,57.0,57.0,185.39569879751656,187.35230886055464,22844503.277997654,23085597.247753955,50.0,50.0,259.68166513533214,292.7994397068378,36078818.45999079,43.0,32.0,286.41496350698117,366.1386088973451,45115688.796491876
81,169.56648095167964,-166.76281714004173,-32.80423337111033,116.0,116.0,168.65184180076818,178.52586724808012,20781321.13014048,21998000.956917405,100.0,100.0,233.18552856967037,295.3375370976375,36391563.440268494,101.0,101.0,237.90974584593792,345.43065193517504,42564049.282893494
82,169.57302790913664,-166.7727637238598,-32.80013299253346,109.0,109.0,154.38129253226293,169.22076661196385,19022900.564519662,20851424.18430296,128.0,128.0,174.83768134388995,201.80255885088954,24866160.580200117,108.0,134.0,254.80555000474828,312.0375439885911,38449342.36738179
83,169.55871535425476,-166.75101664364544,-32.797266127196885,68.0,43.0,186.88203961394007,218.67033810408356,23027650.556350067,26944612.458757363,43.0,68.0,200.6442514251453,233.1644789092194,28730584.02812109,73.0,104.0,229.22238680886477,287.17720105224396,35386044.84006539
84,169.57977915935516,-166.7830186862614,-32.7857985209207,44.0,92.0,622.4213471628418,886.1164280229738,76694910.38779008,109187482.64363486,92.0,44.0,653.8978399731608,942.158739024946,116093029.8903883,93.0,137.0,793.6739492701288,1067.0575084161899,131483086.75407194
85,169.5683284153551,-166.76562412581941,-32.801960275100946,87.0,87.0,176.13527833253283,182.37059440674216,21703432.006980706,22471749.176259797,116.0,101.0,303.31312390801594,373.42386905984387,46013380.33271806,81.0,116.0,360.9341071976154,440.14618930647526,54234920.92657243
86,169.5571790683586,-166.74868180670305,-32.8007979745441,117.0,126.0,314.0354495858731,335.17325429027403,38695524.78295167,41300130.24031317,103.0,73.0,316.7745063409884,354.59477311321217,43693254.532257356,126.0,103.0,332.2956735499502,395.1323199390338,48688300.95108436
87,169.56799296633787,-166.76511446503756,-32.800570758212615,85.0,85.0,176.13527833253283,182.37059440674216,21703432.006980706,22471749.176259797,79.0,66.0,316.0136445976808,368.0926484265339,45356466.024439566,66.0,79.0,346.13501720794125,406.1005168440054,50039804.85206216
88,169.55544704217775,-166.7460493591353,-32.7976083852873,73.0,73.0,193.15724040012012,289.91077130795793,23800882.329577718,35722876.03449077,69.0,69.0,247.36028488565498,314.0539227973524,38697801.05658116,67.0,67.0,308.173453239115,341.4316234579361,42071288.0173969
89,169.55297992940717,-166.74229944818472,-32.79401174406173,124.0,124.0,223.74157875050133,284.75514369035824,27569491.96956594,35087598.34048653,69.0,69.0,295.2441793640503,333.2151693918422,41058854.54097951,46.0,47.0,338.85366841202375,462.3953056631029,56976462.47709485
90,169.5668443323214,-166.76336926264312,-32.792178928532074,77.0,77.0,234.8834971637041,304.4775954518754,28942401.8772094,37517803.66260786,70.0,70.0,251.7150613244219,361.1888585756487,44505779.35316245,63.0,75.0,369.5472952474391,416.2574710460826,51291347.22909023
91,169.53983266119243,-166.72231157240344,-32.791281495176776,71.0,71.0,368.0331886047059,414.2392062238699,45349139.370674305,51042656.144852825,106.0,106.0,466.118129293068,557.9458198512214,68750220.1680369,41.0,122.0,538.4060929730093,732.9654268750193,90316178.88391714
92,169.57553420405483,-166.77657095319316,-32.78898314766241,111.0,44.0,305.0991642702906,354.8693080543089,37594393.52419519,43727082.79473856,44.0,111.0,337.62629115478165,373.3369423160149,46002669.19811663,110.0,110.0,447.7387261158972,510.00937238925184,62843479.40607055
93,169.57449022326372,-166.77498511061847,-32.78212225544775,64.0,64.0,271.61773800435816,402.39760078729086,33468804.00380673,49583530.63133089,44.0,44.0,522.6294889708053,523.9960216794564,64566917.747039005,84.0,92.0,793.6739492701288,867.6904905786255,106917034.13227364
94,169.56049138766457,-166.7537157164402,-32.801237030484096,97.0,104.0,269.24259294360786,305.05011892788156,33176138.049429376,37588350.14512706,104.0,97.0,272.39729981602665,337.24535076427594,41555454.47382931,103.0,103.0,274.5728893674851,358.7521364353707,44205525.856009066
95,169.56434864925683,-166.75957718934313,-32.801280740406526,96.0,96.0,221.05321799744524,223.275180250019,27238231.50109787,27512022.23244567,116.0,116.0,293.28874812441023,380.2597139932328,46855694.814669676,65.0,65.0,358.9401263509213,420.4723217280819,51810702.159359485
96,169.56457153717557,-166.75991586834138,-32.79950067203375,79.0,95.0,218.9307396358945,223.275180250019,26976699.199095108,27512022.23244567,95.0,79.0,221.05321799744524,315.535351849498,38880343.10613983,65.0,65.0,234.54847885374113,343.1054441919617,42277536.61697735
97,169.56193173645534,-166.75590453972717,-32.79959390970374,65.0,65.0,143.17144118559762,187.936352464658,17641619.944226265,23157563.243270416,60.0,60.0,228.39230672424176,272.36560068095525,33560955.825439185,94.0,94.0,269.24259294360786,337.24535076427594,41555454.47382931
98,169.5703717496331,-166.76872853522283,-32.79295095582665,107.0,63.0,275.52161514791203,334.9810723076448,33949840.698731445,41276449.52948428,63.0,107.0,307.1005030462895,374.97137915133607,46204064.904081486,110.0,110.0,433.18138042411806,648.9676996498617,79965958.42365064
99,169.5673198961976,-166.7640918282124,-32.8070994313947,113.0,113.0,138.5705339058353,199.2772404837518,17074695.025708675,24554990.234338574,112.0,112.0,220.29825162585308,305.0283706326791,37585670.31488145,101.0,101.0,284.5791311513843,313.7821677629304,38664315.33487925
100,169.56519520144295,-166.76086351670938,-32.80562194331806,114.0,114.0,133.87521781928123,157.4551634273797,16496137.030964319,19401663.686830983,81.0,81.0,233.18552856967037,295.3375370976375,36391563.440268494,112.0,112.0,312.2819602933164,324.58535042529496,39995486.14058782
101,169.56825775306598,-166.76551676626227,-32.80498891277097,132.0,99.0,231.1658341289341,313.7821677629304,28484310.530241042,38664315.33487925,81.0,113.0,237.90974584593792,319.7814768448616,39403551.66493877,140.0,132.0,246.1115113714238,321.7789833877677,39649684.90893102
