cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3,beam_sep_nn,beam_sep_nn2,beam_sep_nn3,MLUM_MSUN_nn,MLUM_MSUN_nn2,MLUM_MSUN_nn3,SIGV_KMS_nn,SIGV_KMS_nn2,SIGV_KMS_nn3,RAD_PC_nn,RAD_PC_nn2,RAD_PC_nn3,RAD_NODC_NOEX_nn,RAD_NODC_NOEX_nn2,RAD_NODC_NOEX_nn3,RAD_NODC_nn,RAD_NODC_nn2,RAD_NODC_nn3
41,55.50709963812153,0.002896005055094289,-47.22475507040218,15.0,11.0,90.0,50.524568925127056,62.09646073838125,68.12078422312304,1.21999144199737,1.4994121135682763,1.6448784332532649,0.7655237715928351,0.9408554657330503,1.0321330942897446,698139.752248496,498806.8662478906,713176.9554319596,6.799770832212056,2.0873926356282513,,35.107423204375124,19.612193606351664,36.81905501443062,42.783167776040244,47.87713862117237,66.25652363853801,86.09333145206824,85.78767682248736,83.32637404133155
42,55.502707970214225,-8.648312223782645e-05,-47.22469199562406,51.0,50.0,29.0,75.91678208707243,104.90341649607636,123.09831774959879,1.833124486177389,2.5330502186204846,2.972393379572132,1.1502542740465536,1.5894457044860073,1.8651260265090752,170941.1222846688,436500.81345163414,1729630.5814664469,2.485385963675034,3.373308342389528,6.625059337217437,,21.820727239552784,46.73322427976533,45.379562523236295,46.89490903677552,76.06232983553288,49.67980062337493,67.94068985641121,92.8577573866025
43,55.50626147829274,0.0023267929893770523,-47.22469628139097,19.0,11.0,113.0,38.00737076476722,58.857516667747625,110.32278327570593,0.9177449318677281,1.4212029545126712,2.663908951962491,0.5758692540116255,0.8917805555719348,1.6715573223591833,1054066.4548388117,498806.8662478906,912275.5368567922,5.108137382060045,2.0873926356282513,4.086470968771771,44.402560839049606,19.612193606351664,36.71234356565451,84.00137181897016,47.87713862117237,69.34303580184465,89.74925501111632,85.78767682248736,80.16540993911725
44,55.50642546645168,0.002438274317908389,-47.2222421365777,21.0,53.0,80.0,16.743965010084512,27.77501798631609,34.904640843404216,0.4043081307171221,0.6706694379687563,0.8428248676015383,0.2536964395467354,0.42083360585327456,0.5288581945970343,1081470.9942652124,695776.308877279,1546265.4128301798,11.366773432715478,3.0181648323745307,3.428217432794408,17.91189008505553,39.07966665186839,56.72633722932496,49.054130129213895,67.94533472180481,79.43699027048791,63.13691791073561,84.6349122504098,106.71358590981389
45,55.503745559034826,0.000618207316039569,-47.22144236442605,34.0,86.0,57.0,81.78566481412166,121.37748633308485,139.24559780329315,1.9748374557961244,2.930841325869736,3.3622936577167093,1.2391767396079054,1.8390528232285603,2.109781784898384,978181.8952451756,1435476.1613909022,644046.1941359851,6.915406128856472,7.574774056204133,5.6178409053213585,52.640722868740646,36.15069778176692,43.431370527947465,75.23049284054376,69.61877699790122,77.17699600616233,102.2045519096202,80.14892127962224,88.89695878592335
46,55.506264762909076,0.002328990082009265,-47.22546041325928,33.0,88.0,64.0,63.65146772904189,74.33053775448148,76.45793723707604,1.5369600879738254,1.7948222393329758,1.846191488347671,0.9644161777127572,1.1262202690072969,1.1584535945011536,1502275.1411093327,546686.9740830335,412272.8793367045,5.36372973724335,3.3411243916519417,4.650918254236084,44.038387862540006,,35.384257894181616,80.33336325831999,49.6615114799726,61.57770208967698,89.27541716384923,68.70589213093015,80.74532394721838
47,55.50031278392002,-0.0017130898157079822,-47.22544341856011,12.0,39.0,66.0,12.536764671922489,19.279343649100877,28.57744276680005,0.3027189728772523,0.4655286479353226,0.6900451869531322,0.1899509798776137,0.2921112674106197,0.4329915570727287,616734.1679318784,424806.69510565454,747531.6030474114,5.823936458390087,3.195494716318255,4.352938472285708,,31.87905166467119,25.02198064320445,43.554485418520926,63.50402633260767,59.54850645019614,61.21817538313001,85.72575294903596,72.51890381280062
48,55.50451048993765,0.0011376403753697141,-47.225287189494296,40.0,28.0,18.0,5.824654829229572,22.430255405789126,34.832122729638805,0.1406450207379154,0.5416121348294941,0.8410738090558494,0.08825234589741787,0.33985235463316904,0.5277594352975583,804163.6519719012,954854.9076406218,2031948.152856498,,,5.731711661034328,61.801234490353686,38.88735584392215,41.93379598905244,86.40765004459006,77.2950938794854,84.32190211183905,116.66642842248721,89.83701163504603,91.30925185232235
49,55.5015663456972,-0.0008617980653184326,-47.224129001653864,31.0,51.0,37.0,73.98035091430265,134.07581520811036,166.30057240601138,1.7863664532232244,3.237461508580385,4.015576569000636,1.1209144077924658,2.0314517455774324,2.5197056425153272,791551.822971706,170941.1222846688,379975.2091378947,5.356722349840563,2.485385963675034,2.253886723782027,52.53407759397825,,46.43421544949714,69.72042884627193,45.379562523236295,63.51375875156489,101.81732215044073,49.67980062337493,93.35840304267407
50,55.50296041207503,8.49557189455925e-05,-47.22515777398207,4.0,29.0,10.0,42.02568645286442,70.97796581349427,77.45101146089937,1.014773186734922,1.7138693650443084,1.870170753883376,0.6367528250434011,1.0754237244468845,1.173500173649992,394158.14910494204,1729630.5814664469,811443.7862835944,4.171357323552349,6.625059337217437,4.330187062136056,,46.73322427976533,50.09447794924414,37.17367842071664,76.06232983553288,79.52210513526042,51.64846126776619,92.8577573866025,97.578495981941
51,55.50241600749683,-0.00028476392186975284,-47.22439250028099,42.0,31.0,49.0,75.91678208707243,113.21197950686708,134.07581520811036,1.833124486177389,2.7336729252383654,3.237461508580385,1.1502542740465536,1.7153330228313215,2.0314517455774324,1338808.5462521226,791551.822971706,561312.983948553,6.738721341353607,5.356722349840563,3.2866056332706077,50.13184041189868,52.53407759397825,51.98645279099407,75.77635324330977,69.72042884627193,81.73568409382817,97.60499553689395,101.81732215044073,99.9950747512818
52,55.5063154676612,0.002363527128214025,-47.22315739010283,84.0,79.0,92.0,71.76919217517441,89.53386467424166,118.44214447181564,1.7329747114226806,2.1619293542790143,2.859963097192676,1.0874120026541592,1.3565737071854809,1.7945779465426634,3988213.1990525834,4161697.907102665,4101439.776256447,5.664325706840222,4.613794806596952,7.925695527205042,39.45528470310632,47.183137155504724,43.383861764302644,78.39333255115422,86.34248648060324,81.22731857907759,83.60199522910843,94.13295611280425,88.76409007230819
53,55.506306168032616,0.00235724743054445,-47.222345594706105,80.0,108.0,44.0,9.51029992984238,19.033651308592106,27.77501798631609,0.2296404456697048,0.4595960381345504,0.6706694379687563,0.1440954534824605,0.28838865619078985,0.42083360585327456,1546265.4128301798,1468350.8183028933,287797.9950134542,3.428217432794408,5.338201403650517,,56.72633722932496,50.029794543829134,31.82371738405968,79.43699027048791,87.32650187567448,56.34922047496306,106.71358590981389,98.16202133776518,74.37120851890134
54,55.5032508991971,0.00028222834435888064,-47.22566832880955,26.0,38.0,10.0,24.00121016835445,33.21736637603075,53.1723540286461,0.5795451920899107,0.8020830967306823,1.2839261817737415,0.36365469952052254,0.5032934299398606,0.8056417277067601,1097422.0642994216,449436.82930224796,811443.7862835944,3.9172885236181356,2.8362969629565375,4.330187062136056,44.92496976231296,30.61543655686757,50.09447794924414,76.32479375965241,65.00439529705042,79.52210513526042,92.2199428919675,78.63302086579115,97.578495981941
