cloudnum,x,corr_x,y,nn_index,nn2_index,nn3_index,min_dist,min_dist2nd,min_dist3rd,mean_cloud_sep_nn,mean_cloud_sep_nn2,mean_cloud_sep_nn3
105,169.58132165679365,142.5125434161939,-32.81986099995651,114.0,102.0,112.0,84.80323676146295,340.54347178141103,346.4091500490505,1.10947924973895,4.455324230586824,4.5320647958307685
106,169.58659334439375,142.52040039135235,-32.8177248657686,98.0,91.0,90.0,115.1422823472452,184.38389045248346,564.1793281523176,1.5064044476413703,2.4122911843399435,7.3811481922244955
107,169.56547076050217,142.50342170782648,-32.817243102961285,115.0,78.0,104.0,203.53553643855847,301.53109048877974,323.93202734179243,2.662851830741501,3.944925934719565,4.237996996181976
108,169.56943691839575,142.51036556742508,-32.814991924603895,84.0,75.0,86.0,178.4762521090503,214.13491327531426,217.8337225330683,2.3350016561650024,2.8015232908135084,2.849914747047232
109,169.56336506909807,142.4991908247973,-32.81877761253834,96.0,110.0,118.0,223.5987741433477,248.8018264938104,279.7525081983594,2.9253388155090354,3.2550699045661187,3.6599971270147407
110,169.56549959937286,142.49818048670554,-32.82052582259671,127.0,109.0,123.0,229.6068708024564,248.8018264938104,256.4713666780523,3.0039426380548298,3.2550699045661187,3.355410363426083
111,169.57679613204255,142.507864415004,-32.82040698650336,121.0,119.0,114.0,165.63595677061988,323.13051980152113,509.9239494229168,2.1670122988886997,4.2275108871795375,6.671326029937022
112,169.57998695196562,142.51456146555847,-32.81790373451952,102.0,95.0,105.0,43.675877847048135,280.21528427760114,346.4091500490505,0.5714107389761033,3.6660516182912763,4.5320647958307685
113,169.55914218386954,142.48441662794474,-32.82577560130418,97.0,117.0,133.0,204.8393095396753,280.04193378059347,367.7298894646964,2.6799090712112923,3.663783676798631,4.811003653286029
114,169.58002919107443,142.51191798413635,-32.819573792339014,105.0,102.0,86.0,84.80323676146295,370.29826291419056,378.70863552129964,1.10947924973895,4.844605637792936,4.954638394165282
115,169.56660177925616,142.50235259738724,-32.81850225154111,118.0,107.0,96.0,176.114112873588,203.53553643855847,268.7095537723899,2.3040978302401576,2.662851830741501,3.515522349172373
116,169.56923108689594,142.50832829456962,-32.8161542823463,100.0,119.0,92.0,128.09665307482058,219.06136600600433,222.4712987873996,1.6758862512203805,2.8659759849352526,2.910588075327561
117,169.56039570881808,142.48658119424118,-32.82508293135685,97.0,113.0,122.0,110.56240819518335,280.04193378059347,351.6234252409492,1.4464860349465678,3.663783676798631,4.600283066132323
118,169.56732088115152,142.5013396109039,-32.819510542458524,115.0,96.0,109.0,176.114112873588,276.13926892927924,279.7525081983594,2.3040978302401576,3.6127251814324928,3.6599971270147407
119,169.57154359096128,142.5076415555907,-32.817794091608185,116.0,104.0,111.0,219.06136600600433,279.6465887889292,323.13051980152113,2.8659759849352526,3.6586113852506856,4.2275108871795375
120,169.5867490019294,142.50335090905443,-32.82843326694026,125.0,140.0,130.0,146.43985169808914,259.6294432341474,308.9077743440335,1.9158699950437625,3.3967274232681532,4.04143495939641
121,169.57981518289594,142.50863806613262,-32.821506263388216,111.0,134.0,114.0,165.63595677061988,451.7430593028927,469.08421602590755,2.1670122988886997,5.91014647141288,6.137020518741687
122,169.5665386765852,142.48732221532487,-32.82783865624629,126.0,128.0,137.0,88.83244500633292,233.700845973573,277.734162359187,1.1621933100894362,3.0575040429582385,3.633591144025465
123,169.5695689984609,142.50001094712596,-32.82151661317041,132.0,127.0,110.0,143.85635703247974,166.17668463825538,256.4713666780523,1.8820701799333155,2.1740866320369103,3.355410363426083
124,169.5762144982915,142.49720239112042,-32.82674822570778,135.0,130.0,103.0,221.1001301039598,480.0037122595773,566.6747195910801,2.892649099643797,6.279880095233284,7.413795354373163
125,169.58928470341723,142.50362665893886,-32.82958927357498,120.0,140.0,130.0,146.43985169808914,381.62534934923525,388.5632643670492,1.9158699950437625,4.99279770969499,5.083566329416057
126,169.56807389255317,142.48788055310092,-32.82829471600302,122.0,128.0,137.0,88.83244500633292,148.73835920406395,241.37249481993803,1.1621933100894362,1.945941328174848,3.1578720894075416
127,169.569629111684,142.49888085246766,-32.82225258111145,123.0,110.0,132.0,166.17668463825538,229.6068708024564,261.9392485595568,2.1740866320369103,3.0039426380548298,3.42694656557149
128,169.5707869674626,142.48847213052338,-32.829346909396385,126.0,137.0,122.0,148.73835920406395,194.73909770440136,233.700845973573,1.945941328174848,2.547768178043208,3.0575040429582385
129,169.56666851935194,142.48402663402425,-32.829960700342674,133.0,136.0,137.0,150.5237305251441,194.40511987292055,375.44589245996247,1.969299309656017,2.5433987519687884,4.9119519842825365
130,169.58307322946024,142.50087302773363,-32.828052564523595,120.0,125.0,140.0,308.9077743440335,388.5632643670492,465.2638081037743,4.04143495939641,5.083566329416057,6.0870381893281555
131,169.57723987679657,142.50286432388378,-32.82375623282223,132.0,140.0,123.0,304.3971894045443,392.8350026704252,446.96273340043456,3.9824230562467124,5.139453406241224,5.847605552005698
132,169.57192404219404,142.5010031983499,-32.82213178114799,123.0,127.0,131.0,143.85635703247974,261.9392485595568,304.3971894045443,1.8820701799333155,3.42694656557149,3.9824230562467124
133,169.56457723722787,142.48420767528447,-32.82875260738616,129.0,136.0,113.0,150.5237305251441,220.45589905064205,367.7298894646964,1.969299309656017,2.8842206361441782,4.811003653286029
134,169.58311129749038,142.50656114434372,-32.82452735620102,140.0,121.0,131.0,371.6563980833328,451.7430593028927,465.32755678205393,4.862374096239192,5.91014647141288,6.087872212160898
135,169.5724508091416,142.49576683592326,-32.825671717534426,124.0,103.0,139.0,221.1001301039598,365.88290563789104,508.2820832620382,2.892649099643797,4.786839596479943,6.6498455239338465
136,169.5683772365626,142.4856019409723,-32.82987375695112,137.0,129.0,133.0,182.80609977264618,194.40511987292055,220.45589905064205,2.391648976724273,2.5433987519687884,2.8842206361441782
137,169.57051705448654,142.48707130143066,-32.83007861206566,136.0,128.0,142.0,182.80609977264618,194.73909770440136,217.84696459502754,2.391648976724273,2.547768178043208,2.850087992710117
138,169.57185021826675,142.4909141850508,-32.82838172999495,139.0,128.0,126.0,202.68089785190807,323.5605381774747,373.95860653444157,2.651670609197069,4.23313681000214,4.892493848770141
139,169.57356882878045,142.49255450158816,-32.82825946516048,138.0,135.0,141.0,202.68089785190807,508.2820832620382,513.3750238976445,2.651670609197069,6.6498455239338465,6.716476376377031
140,169.58439317945349,142.50434888268572,-32.826577560141736,120.0,134.0,125.0,259.6294432341474,371.6563980833328,381.62534934923525,3.3967274232681532,4.862374096239192,4.99279770969499
141,169.57972925943548,142.49133737733132,-32.832244039752645,145.0,142.0,138.0,306.2294319471543,429.8222323773588,478.76303219609366,4.006394253091861,5.623356679657541,6.26364829986123
142,169.57448581939644,142.48790195965725,-32.831639267849766,145.0,137.0,128.0,153.0798835092862,217.84696459502754,291.0712065525561,2.0027414140304187,2.850087992710117,3.808079457803113
143,169.57590581267675,142.47921292147973,-32.83779726054753,144.0,129.0,136.0,863.7269513364579,1133.247845735866,1254.1949376362918,11.30012445920646,14.826261563481621,16.40861023205003
144,169.5795525570986,142.48585792978005,-32.83556597802988,145.0,142.0,137.0,534.7664323903423,545.4790696755689,692.4874234011553,6.996339796120025,7.136493040640284,9.059800737675502
145,169.57713727829037,142.48885920958864,-32.83243113267131,142.0,141.0,137.0,153.0798835092862,306.2294319471543,364.0937993450657,2.0027414140304187,4.006394253091861,4.763432750429355
