,cloudnum,x,y,corrected_y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
85,86,169.56324417555297,-32.80826979373244,-32.6959808098471,78.0,147.0,0.0008148736625860901,0.0013272037658842223,5753.008011230351,9370.0585111994
86,87,169.56249484590626,-32.8066120954674,-32.69228746342296,102.0,129.0,0.0005178113586346094,0.0014732144615130659,3655.7481623309386,10400.894013984238
87,88,169.5620411081795,-32.80438499858755,-32.68882321792977,65.0,65.0,0.0014150025516248537,0.0012537977737493056,9989.917933504372,8851.812210927214
88,89,169.5786546859897,-32.794506732485324,-32.72015960564761,108.0,100.0,0.0014955529069069918,0.0018673717219931212,10558.60343718714,13183.644250419567
89,90,169.57096978207457,-32.80815440325007,-32.71584231327331,110.0,110.0,0.000938757110945571,0.00046617179920484735,6627.625149559619,3291.172875711658
90,91,169.5608778306393,-32.806954017021354,-32.688160532713134,98.0,88.0,0.0008691253328089317,0.0013387928636974763,6136.024799899307,9451.87754109784
91,92,169.56043858833428,-32.80600092542706,-32.68598258046777,91.0,124.0,0.0010494367011117255,0.0021623389267578113,7409.023049799533,15266.112699180121
92,93,169.57341883537364,-32.802587553576586,-32.716215209145375,79.0,79.0,0.0012578824505850418,0.0006255945302501846,8880.650029153783,4416.697347769497
93,94,169.57681902227873,-32.79566454055682,-32.71720821753738,100.0,80.0,0.0019944644541624135,0.0018216906518550907,14080.918932262468,12861.135897858965
94,95,169.5657809857127,-32.810634765933294,-32.70511300793,113.0,123.0,0.0011049529154277802,0.0007011965080565764,7800.967519694215,4950.447306756643
95,96,169.57157505493905,-32.80678439628841,-32.71595871543516,106.0,90.0,0.0014079502265288315,0.0006163640999871418,9940.128518729993,4351.530510640585
96,97,169.5683432699603,-32.81009398998861,-32.71120356679484,101.0,161.0,0.001575792176357642,0.002070479110044941,11125.092674917401,14617.58239844352
97,98,169.56116270366095,-32.80777512980634,-32.68977197218907,91.0,114.0,0.0008691253328089317,0.0009293832175284458,6136.024799899307,6561.445462571093
98,99,169.5759745544163,-32.805235346961894,-32.72482937800581,118.0,118.0,0.0009543878415145925,0.0003970839056404534,6737.978106482513,2803.4123511002776
99,100,169.5784619467645,-32.796795331250536,-32.72201700402684,116.0,116.0,0.0008335382626279781,0.0009023772954901814,5884.780086458083,6370.783654526237
100,101,169.5693584912266,-32.81129916498151,-32.714972563459874,109.0,117.0,0.0009994381848593067,0.0010581274301713608,7056.033527918394,7470.37959646327
101,102,169.56199262669097,-32.806485982569875,-32.690783376625255,87.0,114.0,0.0005178113586346094,0.0012616289186909559,3655.7481623309386,8907.100093767163
102,103,169.5728685909126,-32.804794307601966,-32.71710215262516,106.0,106.0,0.0011723409662133162,0.0008025731557711934,8276.727154384123,5666.166433821021
103,104,169.56355922049886,-32.810453078438954,-32.69900948494076,113.0,72.0,0.0013704873662248986,0.0014209959907585399,9675.640727127868,10032.231613445249
104,105,169.5584483794098,-32.80943415504548,-32.68375815604436,124.0,92.0,0.0016698081486628846,0.0029847940596457057,11788.845434012777,21072.645890307398
105,106,169.5727137904166,-32.80595638339446,-32.71788965530884,103.0,103.0,0.0011723409662133162,0.0008025731557711934,8276.727154384123,5666.166433821021
106,107,169.57632753252122,-32.802837206550976,-32.72324525497157,118.0,118.0,0.00153002787252154,0.0016227951285743298,10801.996692453176,11456.933514877686
107,108,169.57938496871813,-32.79581186298988,-32.723064846330004,116.0,116.0,0.0005156751275759919,0.00049455396264499,3640.6663711793353,3491.5509479750244
108,109,169.56952225231976,-32.81228509550124,-32.716366599038665,117.0,117.0,0.00041824857423036847,0.00043122241392252943,2952.834910134026,3044.4302176183132
109,110,169.57076933529436,-32.80907151066017,-32.716263190018545,90.0,90.0,0.000938757110945571,0.00046617179920484735,6627.625149559619,3291.172875711658
110,111,169.57812235878316,-32.8051838243939,-32.72963262848058,151.0,126.0,0.0012792102166989084,0.0010267255364279444,9031.224056697298,7248.682228431581
111,112,169.5703930620424,-32.81182045070216,-32.71807405955693,122.0,219.0,0.0007413644546865545,0.0013295375034575211,5234.03300766586,9386.534698333353
112,113,169.56477349503137,-32.8110885097733,-32.702899639689406,137.0,152.0,0.0010012380664265203,0.0008709232113922538,7068.740691679932,6148.7178225946855
113,114,169.5607441377387,-32.80977871589851,-32.69060176477385,129.0,98.0,0.0011908740736240103,0.0009293832175284458,8407.570891643152,6561.445462571093
114,115,169.57170900807,-32.80915259935394,-32.71864687049165,110.0,106.0,0.0009431650447003032,0.001258158335473691,6658.745161615804,8882.597776451861
115,116,169.579044517862,-32.79619917946482,-32.72270613079294,108.0,108.0,0.0005156751275759919,0.00049455396264499,3640.6663711793353,3491.5509479750244
116,117,169.56925791030767,-32.812609217654895,-32.7160258996537,109.0,109.0,0.00041824857423036847,0.00043122241392252943,2952.834910134026,3044.4302176183132
117,118,169.57636980419036,-32.80436665037037,-32.724867499446155,99.0,99.0,0.0009543878415145925,0.0003970839056404534,6737.978106482513,2803.4123511002776
118,119,169.57004731012165,-32.81051431347554,-32.7159127705621,101.0,109.0,0.0010442525348789348,0.0006940071912252336,7372.42283649267,4899.69073033874
119,120,169.57446972365216,-32.807476999466836,-32.72357400921361,145.0,141.0,0.0011129057509435423,0.0012906371999237111,7857.114537980431,9111.898557610548
120,121,169.5608233134017,-32.81177856117694,-32.69281546945135,127.0,129.0,0.0005773174509065841,0.00030043899254116095,4075.8611703661145,2121.099270149339
121,122,169.57093223665032,-32.81232928466019,-32.719913073751584,112.0,179.0,0.0007413644546865545,0.0005746394640481984,5234.03300766586,4056.9545832991466
122,123,169.56561644482076,-32.81175306885329,-32.70579462573918,132.0,95.0,0.0010635207982651073,0.0007011965080565764,7508.456774896509,4950.447306756643
123,124,169.55942426913933,-32.81078910836171,-32.687892257457456,144.0,91.0,0.0006894013401181626,0.0014781111754562431,4867.173421786367,10435.464814142877
124,125,169.5774129623467,-32.807810865764424,-32.730666753175356,139.0,111.0,0.0010734899136569873,0.0012540562939564604,7578.838728992744,8853.637363574933
125,126,169.57896857089443,-32.80389115744249,-32.730214083887205,151.0,111.0,0.0007389025421273569,0.0010267255364279444,5216.651905138798,7248.682228431581
126,127,169.56075687712448,-32.81235204322565,-32.693201338145705,121.0,121.0,0.0005773174509065841,0.00039154620189364085,4075.8611703661145,2764.316162964651
127,128,169.57150707753672,-32.81134167812875,-32.72033745109279,148.0,122.0,0.0010164669305604932,0.000714519539554843,7176.256471594377,5044.507908372056
128,129,169.56106306869825,-32.810926088593966,-32.692634414249774,121.0,121.0,0.0008855462195450786,0.00030043899254116095,6251.956259316894,2121.099270149339
129,130,169.57877732010957,-32.802635015585444,-32.72853993531595,126.0,111.0,0.0012706176560008068,0.001273951604698276,8970.56057866037,8994.098256273734
130,131,169.57102638127049,-32.81327685881699,-32.72108952530668,179.0,197.0,0.0007356754972166062,0.000637494017005503,5193.8689682535505,4500.70772358115
131,132,169.5664261013802,-32.812442657675795,-32.7086045899473,143.0,143.0,0.0007576895216585178,0.00026926457306541545,5349.287979553794,1901.0078704343907
132,133,169.57377020934481,-32.81143462699439,-32.72587306488998,148.0,171.0,0.0014590629040826465,0.001120064447560115,10300.984019335236,7907.65493568381
133,134,169.5516469946847,-32.80912238759167,-32.663179082568874,77.0,35.0,0.006534870594534851,0.004667083345552121,46136.18602348775,32949.60815254532
134,135,169.58559559144408,-32.80500287868099,-32.74516686524743,150.0,150.0,0.001343707390906692,0.002409444623465998,9486.574102913692,17010.67890380042
135,136,169.5777051742115,-32.80370949964181,-32.727230600089136,126.0,140.0,0.0012763897269198066,0.0011903724296276562,9011.311399018228,8404.029285057597
136,137,169.56411277613108,-32.8118407917686,-32.70188322531087,113.0,113.0,0.0010012380664265203,0.0012122902515866942,7068.740691679932,8558.769106834256
137,138,169.57315552744575,-32.808175225665096,-32.72116055256694,120.0,148.0,0.001488163799074041,0.001190651191648182,10506.436336309313,8405.997344906556
138,139,169.57848461031955,-32.80774800705771,-32.732994880314436,125.0,151.0,0.0010734899136569873,0.0016706918712938626,7578.838728992744,11795.084515736913
139,140,169.57653329263604,-32.806571352015425,-32.72743959792242,141.0,136.0,0.001215406039437159,0.0011903724296276562,8580.766568880252,8404.029285057597
140,141,169.57532383985642,-32.806451202880716,-32.72454159894662,140.0,99.0,0.001215406039437159,0.0007115098209646768,8580.766568880252,5023.2592952977
141,142,169.56111584396302,-32.81305280583116,-32.69490033427058,127.0,147.0,0.0007873534279214592,0.0011246035498843417,5558.715156072777,7939.700997833121
142,143,169.56615684824112,-32.81315089221204,-32.7086070713604,132.0,132.0,0.0007576895216585178,0.00026926457306541545,5349.287979553794,1901.0078704343907
143,144,169.56011322485682,-32.81081389196699,-32.689863882061196,124.0,114.0,0.0006894013401181626,0.0009708357029740511,4867.173421786367,6854.100007445137
144,145,169.57540378150304,-32.808082057432394,-32.72635349605632,120.0,140.0,0.0011129057509435423,0.0015669756421593903,7857.114537980431,11062.84794398223
145,146,169.56446825907562,-32.81279622347983,-32.70378752454314,152.0,152.0,0.0008394065583791389,0.0005886625546869289,5926.210254125493,4155.957602406176
146,147,169.56196082732123,-32.81145013275654,-32.695642450345574,129.0,142.0,0.0010395156706222073,0.0011246035498843417,7338.98057511122,7939.700997833121
147,148,169.5724170848797,-32.81088880766532,-32.72209455087359,128.0,138.0,0.0010164669305604932,0.001190651191648182,7176.256471594377,8405.997344906556
148,149,169.5742162450618,-32.8152522470875,-32.7307338143029,177.0,210.0,0.0008892894772498814,0.0008967078183432216,6278.38365849861,6330.757146193111
149,150,169.58616723873962,-32.80621892511179,-32.74750751532017,135.0,169.0,0.001343707390906692,0.0023577254919236804,9486.574102913692,16645.541838071047
150,151,169.57924758912677,-32.80457535463102,-32.731508584694936,126.0,126.0,0.0007389025421273569,0.0013242294042917191,5216.651905138798,9349.059518526523
151,152,169.5640455799607,-32.81352144464337,-32.70337781004609,146.0,146.0,0.0008394065583791389,0.0005886625546869289,5926.210254125493,4155.957602406176
152,153,169.5727656541373,-32.813127121619715,-32.725165713109014,171.0,171.0,0.0012120931037449573,0.0011455616917786183,8557.377243082876,8087.66547840748
153,154,169.5872623354118,-32.812418767938055,-32.755825414964406,168.0,180.0,0.000772236793173034,0.0008339525729303499,5451.991715613876,5887.705117169121
154,155,169.5449892733469,-32.81516542567981,-32.64788751485194,134.0,71.0,0.008991304841130027,0.00918865837540544,63478.6116638914,64871.92760458316
155,156,169.56159881658502,-32.81486510798821,-32.698046036212176,158.0,104.0,0.0009985254265941067,0.0021843573329504385,7049.58945461831,15421.562645640166
156,157,169.58020418704353,-32.810767302884905,-32.7397654485172,164.0,189.0,0.0014625479476839216,0.0010525486028704321,10325.588426960821,7430.993076037937
157,158,169.5625072294917,-32.81527964268945,-32.70095869939719,156.0,181.0,0.0009985254265941067,0.001280034413962804,7049.58945461831,9037.04288933324
158,159,169.56754164477456,-32.81423732006765,-32.71328312518506,178.0,211.0,0.000515629536291813,0.0007852049389897264,3640.344496715641,5543.546824337682
159,160,169.56945924009668,-32.81300140822781,-32.71692277322677,117.0,109.0,0.00044084819317633233,0.0005597323179628597,3112.3882185993702,3951.710132789649
160,161,169.5665016153169,-32.81390322723629,-32.71025742097124,166.0,166.0,0.0007801222012282834,0.00034218257820704486,5507.66269603273,2415.8089825618927
161,162,169.587627669593,-32.81459388253336,-32.758698390819056,180.0,190.0,0.001032415807329896,0.001256107828986169,7288.855540673759,8868.121200767288
162,163,169.57511649633443,-32.81398000639375,-32.73157041510922,196.0,167.0,0.0009556877669663215,0.0008834562259420186,6747.155580097337,6237.200904598881
163,164,169.58166231973888,-32.81065374434479,-32.74276303858664,175.0,173.0,0.0012208268526266645,0.0009168913332850565,8619.037509687978,6473.252760527556
164,165,169.556293705665,-32.81826424911758,-32.686295208807884,187.0,105.0,0.004887566599872118,0.0033285515876149726,34506.21991542835,23499.57401810046
165,166,169.56618253088038,-32.8146151090883,-32.71013383278732,161.0,161.0,0.0007801222012282834,0.00034218257820704486,5507.66269603273,2415.8089825618927
166,167,169.57586528817762,-32.81271461602082,-32.73203924949226,163.0,163.0,0.0014703407837415453,0.0008834562259420186,10380.605849081736,6237.200904598881
167,168,169.5865015201234,-32.81255109239409,-32.75448244792744,154.0,154.0,0.000772236793173034,0.0015435026289096177,5451.991715613876,10897.128471781973
168,169,169.58514629745974,-32.81037180326343,-32.74963273257926,175.0,172.0,0.0023227083516954117,0.0022743061840117098,16398.320830063167,16056.601528985828
169,170,169.5731581650327,-32.81540140293844,-32.728373863928134,184.0,184.0,0.00042097846338115427,0.0006718031350348135,2972.1079273823684,4742.930094904899
170,171,169.57273929608738,-32.81433892809987,-32.72631097152652,170.0,133.0,0.0011420612838006308,0.001120064447560115,8062.952598283182,7907.65493568381
171,172,169.5830314824838,-32.81383535584502,-32.74879605687379,186.0,194.0,0.0011779317386003299,0.0013435899268439777,8316.198007116534,9485.744806637651
172,173,169.5810286465601,-32.81266404773487,-32.7434257210291,189.0,164.0,0.0014597928698584029,0.0009168913332850565,10306.137577670306,6473.252760527556
173,174,169.57785390219192,-32.8121641611788,-32.73599822998396,198.0,198.0,0.0013699588928172523,0.0005232602641724422,9671.909704900125,3694.2174351162494
174,175,169.58282530917012,-32.810282430748316,-32.74482378003532,164.0,173.0,0.0012208268526266645,0.0022765248777718424,8619.037509687978,16072.26550680541
175,176,169.56264513255834,-32.817247739586065,-32.70329705974035,205.0,199.0,0.0008906674660970549,0.001282284723768284,6288.112259680806,9052.930076431165
176,177,169.57510075437037,-32.81516016529023,-32.732711018385956,149.0,183.0,0.0008892894772498814,0.0009043536025340852,6278.38365849861,6384.736382143114
177,178,169.56780933743536,-32.814678017762276,-32.71440981459241,159.0,159.0,0.000515629536291813,0.0011580537039707819,3640.344496715641,8175.8590837693555
178,179,169.5704949214294,-32.81378555211803,-32.720285855069775,197.0,122.0,0.0005606366612227767,0.0005746394640481984,3958.0947961529164,4056.9545832991466
