,cloudnum,x,y,corrected_y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
116,117,169.56597868911732,-32.814925211100984,-32.709908909399445,105.0,130.0,0.0009432446253628523,0.00048341745521697407,6659.307001088847,3412.9272061704683
117,118,169.58277280399534,-32.81381607487407,-32.74824155252403,121.0,121.0,0.000660337018448815,0.000556694637829201,4661.979312463846,3930.264111219836
118,119,169.5810974460861,-32.81252684972301,-32.743435311218185,128.0,128.0,0.0011256941706332623,0.0024040799738904222,7947.4007802580945,16972.804478103822
119,120,169.58520296149428,-32.810489469478,-32.74986320235363,114.0,118.0,0.0024094762191707864,0.002921543023725351,17010.901969474417,20626.093580328947
120,121,169.5823527614701,-32.814325593524295,-32.74787621268664,118.0,118.0,0.000660337018448815,0.000556694637829201,4661.979312463846,3930.264111219836
121,122,169.57086357262253,-32.81391853933236,-32.72132878867941,132.0,90.0,0.00047902513950016305,0.0002907035628221484,3381.917457461113,2052.3671368901764
122,123,169.57302397715978,-32.815630096653145,-32.728281169511554,136.0,152.0,0.0010314572995103305,0.0014142743646990126,7282.088475522473,9984.7769338496
123,124,169.58606233418928,-32.81727160858726,-32.75833436463262,131.0,133.0,0.0007508713158778929,0.0014728442204575572,5301.151447132723,10398.280112153532
124,125,169.57503553078348,-32.816437601149396,-32.73383354193695,104.0,146.0,0.0011619856567138278,0.0005559781847424803,8203.618669910271,3925.2059524685837
125,126,169.57599411550018,-32.81487161361553,-32.73448693413662,110.0,125.0,0.0011934948322646832,0.0011600888007706142,8426.073447496341,8190.226867059722
126,127,169.57739113746118,-32.813382095714566,-32.736175792825414,113.0,113.0,0.0012426341285642786,0.00047497309298193564,8772.996876559711,3353.310009274287
127,128,169.5799953540861,-32.81275615430068,-32.74129872662019,119.0,103.0,0.0011256941706332623,0.0011723638539064935,7947.4007802580945,8276.888741496647
128,129,169.5852340504238,-32.82052648209107,-32.759943652745335,124.0,131.0,0.0033586091648103128,0.001571476413222848,23711.78051137965,11094.623387432704
129,130,169.56563940298352,-32.81616546247627,-32.710253260028054,137.0,117.0,0.0008617380144713998,0.00048341745521697407,6083.870332859038,3412.9272061704683
130,131,169.5868048249093,-32.81738348022656,-32.75989668857845,124.0,129.0,0.0007508713158778929,0.001571476413222848,5301.151447132723,11094.623387432704
131,132,169.57112903112773,-32.81431728344366,-32.72237916906531,122.0,122.0,0.00047902513950016305,0.001083405359538094,3381.917457461113,7648.841776345991
132,133,169.58685444579274,-32.81447806735788,-32.757092660438616,112.0,112.0,0.0011337435281996392,0.0010506946896040802,8004.229244216128,7417.904448483574
133,134,169.5897463728346,-32.81891348111021,-32.766993852253606,141.0,141.0,0.0006790843906753936,0.0006182928321573896,4794.335759310758,4365.147359652171
134,135,169.5792890172712,-32.81808378199486,-32.74507758931781,142.0,142.0,0.0007030114666057752,0.0012120884504063705,4963.260914010134,8557.344390512719
135,136,169.57337551200743,-32.81659980145957,-32.73008742613568,123.0,98.0,0.0010314572995103305,0.0007252868462520525,7282.088475522473,5120.525093038244
136,137,169.56644493709874,-32.81647157878555,-32.71266989185464,130.0,105.0,0.0008617380144713998,0.0013663217597389575,6083.870332859038,9646.231545575482
137,138,169.56593297453253,-32.82304715350667,-32.717884877130246,154.0,153.0,0.0026636635772636845,0.001336823721381953,18805.46470306556,9437.975396462922
138,139,169.57590103823753,-32.818885695249925,-32.738277359068796,151.0,161.0,0.001423542910053539,0.0010146431924763371,10050.212863522205,7163.380880824591
139,140,169.57152398520424,-32.81482687409769,-32.72385426991784,132.0,132.0,0.0006447258000356297,0.0015270596739059836,4551.764111360039,10781.041210397188
140,141,169.58927134405133,-32.81939876789625,-32.76659808252087,134.0,134.0,0.0006790843906753936,0.0006182928321573896,4794.335759310758,4365.147359652171
141,142,169.57991374209664,-32.817761378498176,-32.746116279504584,135.0,156.0,0.0007030114666057752,0.0007826174677140711,4963.260914010134,5525.279277279611
142,143,169.56913159820297,-32.81496484024856,-32.71805653564827,106.0,106.0,0.0018694357852454097,0.0008048570594862371,13198.21653686262,5682.290793918543
143,144,169.57708674890262,-32.82058910865296,-32.74267941929038,161.0,149.0,0.0014692497028236044,0.001223658407224513,10372.902817863505,8639.028284986767
144,145,169.5673482907933,-32.81654065480189,-32.71508141719739,137.0,73.0,0.0009059908352169044,0.0023357950780773856,6396.295244790133,16490.713117571075
145,146,169.57475112436194,-32.81758135673069,-32.734311270656306,151.0,151.0,0.001084287994851682,0.0005271212160704231,7655.073181609418,3721.4757552950696
146,147,169.57179150660704,-32.81575566495754,-32.72543255819792,140.0,109.0,0.0009665506517010318,0.0010244875005069407,6823.847545702813,7232.881694957357
147,148,169.57755034511587,-32.81518810903653,-32.73833532005412,126.0,139.0,0.001588086889390431,0.0016503250148810027,11211.893348225381,11651.294510627524
148,149,169.57588618399123,-32.823570025201136,-32.74291602823172,168.0,144.0,0.0018752494598817183,0.001223658407224513,13239.261079462296,8639.028284986767
149,150,169.5802970886499,-32.81916925330577,-32.74834954965016,156.0,172.0,0.0012165075565795727,0.0011843027564421415,8588.543279842663,8361.177392715172
150,151,169.57449955498268,-32.81863605730583,-32.734774487262065,146.0,146.0,0.001084287994851682,0.0005271212160704231,7655.073181609418,3721.4757552950696
151,152,169.57175198920686,-32.81808864073154,-32.727662931186735,136.0,123.0,0.0022028319640268242,0.0014142743646990126,15551.993539982323,9984.7769338496
152,153,169.5672443498492,-32.81936144931507,-32.71762527658929,145.0,138.0,0.002822708877200444,0.001336823721381953,19928.324511518436,9437.975396462922
153,154,169.56628482453448,-32.82568747644695,-32.72143851706918,157.0,174.0,0.0016884030255704427,0.0018437817785694186,11920.125263916128,13017.099251198057
154,155,169.5868951571649,-32.82877272287574,-32.771441297152926,185.0,134.0,0.004789757590022897,0.005282915570757674,33815.688311489524,37297.38362725832
155,156,169.57917191197666,-32.81963171204902,-32.7463656350216,150.0,142.0,0.0012165075565795727,0.0007826174677140711,8588.543279842663,5525.279277279611
156,157,169.5664663936668,-32.82736608820282,-32.72358591218299,162.0,162.0,0.0009219020233679979,0.0015176893800391558,6508.628232226409,10714.886936233557
157,158,169.58013018061806,-32.821102952112525,-32.7499189329988,172.0,186.0,0.0013026376419447352,0.0009911803386659897,9196.621677592306,6997.733134266094
158,159,169.5778284406127,-32.8264168512851,-32.750160909088194,181.0,186.0,0.0016091762114428905,0.0018121982126557176,11360.783960709005,12794.119277654552
159,160,169.5697802339874,-32.82067160984287,-32.72537445242176,164.0,164.0,0.0014220745419636037,0.0013072181746313347,10039.846184891285,9228.9602380976
160,161,169.57561946723618,-32.82051308759937,-32.73925215062561,144.0,139.0,0.0014692497028236044,0.0010146431924763371,10372.902817863505,7163.380880824591
161,162,169.56670087571786,-32.82825767191085,-32.725085378495386,157.0,157.0,0.0009219020233679979,0.0015176893800391558,6508.628232226409,10714.886936233557
162,163,169.57061404479322,-32.82964011252965,-32.736390023073234,189.0,189.0,0.0004923640697729116,0.0005358232966658974,3476.0903044234583,3782.912443801181
163,164,169.56973591982785,-32.82209299376643,-32.72668091926457,160.0,160.0,0.0014220745419636037,0.0013072181746313347,10039.846184891285,9228.9602380976
164,165,169.56812493494007,-32.82831360374374,-32.728811411737766,162.0,170.0,0.001425157197754135,0.0012095870932111237,10061.609734596044,8539.684808857404
