,cloudnum,x,corr_x,y,nearest_neighbor,nearest_neighbor_corr,min_distance,min_distance_corr,true_dist,true_dist_corr
62,63,169.55886069060108,-166.75123751941018,-32.79476842896977,53.0,53.0,0.0005536643936047617,0.0006479955112781112,68.2226617804576,79.84616513508279
63,64,169.55665033818218,-166.74787822187145,-32.79456624959523,32.0,32.0,0.000542873296379769,0.0005431708456919692,66.89298014529315,66.92964424420165
64,65,169.56126665187946,-166.75489385668783,-32.79879623007703,50.0,50.0,0.0009981897478950077,0.0012140869587755098,122.99718448568781,149.60009153077968
65,66,169.5669517395502,-166.76353245666922,-32.798475839217765,55.0,55.0,0.0007706960012707749,0.0009663885986643272,94.96534947447088,119.07863911189351
66,67,169.56173292835297,-166.75560242686285,-32.79468237198701,62.0,62.0,0.0010728311690467514,0.0011713744868260662,132.19451862685213,144.33705030712042
67,68,169.57327540478343,-166.7731396987079,-32.79996353617656,87.0,87.0,0.0004651661479902171,0.0006805252268163238,57.31788634525971,83.85448462720136
68,69,169.56468091458513,-166.7600820669024,-32.79901321647616,79.0,79.0,0.0008801923085931339,0.0008904085766844635,108.45751120086676,109.71636224981248
69,70,169.55914848198768,-166.75167488928628,-32.79856290679405,89.0,89.0,0.0010235042099802777,0.001180712851020565,126.1164386854268,145.48772582352143
70,71,169.56989200698555,-166.76799968556108,-32.797749227685465,72.0,88.0,0.0011179578030791944,0.0016977713399472926,137.7550334918979,209.19979909067843
71,72,169.56877414968784,-166.7663013396409,-32.79773423730814,88.0,88.0,0.0011085714879673879,0.0011442472266726094,136.598449451757,140.99442268674846
72,73,169.5587307424634,-166.75104003001027,-32.79743776407772,61.0,61.0,0.0006871372012082095,0.000736211400278589,84.66921372636152,90.7161485193461
73,74,169.5575577770446,-166.74925737535662,-32.7962661524137,91.0,91.0,0.0007852505305915591,0.001043031357622269,96.7587621314792,128.52257858624844
74,75,169.56397238439186,-166.7590054485074,-32.79228822017113,36.0,36.0,0.0005272307918003848,0.0006904504382615504,64.96550691124516,85.07747160514056
75,76,169.564486463216,-166.75978659841303,-32.801061851857405,79.0,79.0,0.0011788394786405169,0.0011821171969636699,145.25688842138914,145.66076967356102
76,77,169.56923840934382,-166.76700668999123,-32.800783284023694,111.0,111.0,0.0004573391270391484,0.0005704044947184239,56.35343891237223,70.28538112748375
77,78,169.56772704860163,-166.7647104422877,-32.80055327427346,96.0,129.0,0.0011031083077654934,0.0013970866810463997,135.92527505321405,172.1493619960878
78,79,169.56456335492206,-166.75990343541665,-32.79988552274447,69.0,69.0,0.0008801923085931339,0.0008904085766844635,108.45751120086676,109.71636224981248
79,80,169.56225312300825,-166.75639292159798,-32.799350702855925,54.0,54.0,0.00042163546613702835,0.0005815857749839116,51.95402509746055,71.6631412121776
80,81,169.56531648696435,-166.7610478062051,-32.79779724249153,45.0,45.0,0.0006396656824570257,0.0006442496477628311,78.81976159367012,79.38459891801963
81,82,169.57184359495918,-166.77096457432594,-32.79149606891282,98.0,98.0,0.0006347726150977692,0.0009618393588166776,78.21683663881407,118.51808066697761
82,83,169.58005155500575,-166.7834324051639,-32.785765805885774,118.0,118.0,0.005387647394398939,0.0073132289070569935,663.8672275588453,901.1378517603916
83,84,169.56534621263552,-166.76109297331806,-32.80602944974643,119.0,119.0,0.0008030278823890626,0.0012143996845443963,98.9492917610567,149.63862567638705
84,85,169.56482275011692,-166.76029758466535,-32.80228970899009,100.0,100.0,0.0007537270442744849,0.0008230111534466549,92.87443044970254,101.41163530053043
85,86,169.5614186425316,-166.75512482810583,-32.80021390557471,113.0,65.0,0.0010903954045582808,0.0014363675061245008,134.35878801563058,176.98955485427916
86,87,169.57284103809192,-166.7724798430708,-32.800129984734816,68.0,68.0,0.0004651661479902171,0.0006805252268163238,57.31788634525971,83.85448462720136
87,88,169.5690220045063,-166.76667790700918,-32.798814745861044,72.0,72.0,0.0011085714879673879,0.0011442472266726094,136.598449451757,140.99442268674846
88,89,169.55966288120317,-166.75245663638196,-32.799447753851425,70.0,70.0,0.0010235042099802777,0.001180712851020565,126.1164386854268,145.48772582352143
89,90,169.56557489596187,-166.7614404482835,-32.79846295188468,81.0,81.0,0.0007141037782665852,0.0007728756677886822,87.99204193652004,95.23392851506479
90,91,169.55695793947524,-166.74834572787717,-32.7957593849264,51.0,51.0,0.0005636098781832816,0.0008014031243716273,69.44814681883173,98.74908868139522
91,92,169.56735403196896,-166.76414369327256,-32.806873681726366,106.0,106.0,0.0008264167778688149,0.0008350481091915834,101.83127717345562,102.8948319267502
92,93,169.5620715150848,-166.75611694914303,-32.803094353070904,128.0,128.0,0.001306646665987268,0.001306909185514131,161.0053212557631,161.03766897596836
93,94,169.55878653790612,-166.75112482553445,-32.802739706399635,109.0,95.0,0.0021629178089913556,0.002800657328193937,266.5152605913876,345.09767987849125
94,95,169.56016147949072,-166.7532143591282,-32.80087489251334,109.0,109.0,0.0012872837602650347,0.0014878542315552817,158.61941928440066,183.3337617345123
95,96,169.56662435330634,-166.76303502598554,-32.800523091092515,78.0,55.0,0.0011031083077654934,0.0014950321319733993,135.92527505321405,184.21822437681945
96,97,169.57119757047778,-166.76998314067126,-32.800537743787,114.0,114.0,0.0013519780914207798,0.0018656319800939227,166.59107056725705,229.88362815979082
97,98,169.57247548108182,-166.7719245111735,-32.79155653543979,82.0,82.0,0.0006347726150977692,0.0009618393588166776,78.21683663881407,118.51808066697761
98,99,169.5685988797184,-166.76603504923614,-32.805171019619266,108.0,108.0,0.0008724853637018076,0.001156302849660155,107.50785956938235,142.47991949516188
99,100,169.5645338486638,-166.75985860066675,-32.802985870183825,85.0,85.0,0.0007537270442744849,0.0008230111534466549,92.87443044970254,101.41163530053043
100,101,169.55214367156685,-166.74102830890496,-32.80256956974378,122.0,122.0,0.001002957382902107,0.0010696141997438829,123.58465363548146,131.79812288379412
101,102,169.57340389717228,-166.77333489260752,-32.79894432858749,68.0,68.0,0.001027275232651797,0.001037730585498349,126.5811050198654,127.86941615073226
102,103,169.5737310383581,-166.77383185229786,-32.7920703907702,116.0,116.0,0.0008609621285932573,0.0008775468822753387,106.08796372542363,108.13154112399577
103,104,169.57399146824994,-166.7742274675569,-32.79062138194226,116.0,116.0,0.0006112851133665576,0.000624543185540408,75.32270094003148,76.95636383081
104,105,169.56572530802535,-166.76166899199688,-32.808141299420924,135.0,135.0,0.0008249592604454439,0.0010775854458167974,101.65168152063357,132.7803417714141
105,106,169.5672493440842,-166.76398463288422,-32.807693440921206,136.0,136.0,0.0004297694301029088,0.0004924738934425153,52.956294123586204,60.68275340822799
106,107,169.56845354151366,-166.7658142335932,-32.807429219942755,92.0,92.0,0.001231886337597137,0.0017604907477099356,151.79333533564852,216.9280998307761
107,108,169.56793548572503,-166.76502713199713,-32.804604328239904,99.0,99.0,0.0008724853637018076,0.001156302849660155,107.50785956938235,142.47991949516188
108,109,169.5608134605012,-166.75420516181944,-32.80198485658546,95.0,95.0,0.0012872837602650347,0.0014878542315552817,158.61941928440066,183.3337617345123
109,110,169.5511688657883,-166.73954653297827,-32.80165252199988,141.0,141.0,0.00018712430469828474,0.0002136043642899431,23.057502519202238,26.32038192830812
110,111,169.5689403798514,-166.76655389446472,-32.80113018098068,77.0,77.0,0.0004573391270391484,0.0005704044947184239,56.35343891237223,70.28538112748375
111,112,169.57374059140457,-166.77384636424506,-32.80018994434106,68.0,68.0,0.0005173579509766858,0.0007420490808345871,63.7489730540791,91.43546894297177
112,113,169.56237019979247,-166.75657083138145,-32.80074635361685,86.0,80.0,0.0010903954045582808,0.0014069445396072292,134.35878801563058,173.36404973516454
113,114,169.57007351244607,-166.76827543917975,-32.79978651925263,77.0,77.0,0.001300360411663772,0.001613463514365536,160.23072746296822,198.81136823518818
114,115,169.55200078502142,-166.74081111357037,-32.79891828418977,122.0,122.0,0.002708440333915293,0.0027164239247196662,333.7346793248139,334.7184193332587
115,116,169.57387952960457,-166.77405742355933,-32.79122233055029,104.0,104.0,0.0006112851133665576,0.000624543185540408,75.32270094003148,76.95636383081
116,117,169.57501595650388,-166.77578372347534,-32.78947681379103,118.0,118.0,0.000867907675101289,0.0011884071714781672,106.943795662191,146.43582186919957
117,118,169.5757259452923,-166.77686220942908,-32.788977634812305,117.0,117.0,0.000867907675101289,0.0011884071714781672,106.943795662191,146.43582186919957
118,119,169.5645499150526,-166.75988301354414,-32.80592570034005,84.0,84.0,0.0008030278823890626,0.0012143996845443963,98.9492917610567,149.63862567638705
119,120,169.56501616923978,-166.76059148177006,-32.80740693494718,105.0,135.0,0.0010208667873386273,0.0013035640045200043,125.79145482348483,160.62547495700525
120,121,169.56836476469599,-166.76567935249093,-32.802319048727036,129.0,129.0,0.0007257310948106281,0.0007262520149375769,89.42476272037601,89.48895062562325
121,122,169.5518189989739,-166.74053478756096,-32.801620617047746,141.0,141.0,0.0005934481306731105,0.0008737417166839141,73.1248235768944,107.66266769062901
122,123,169.57262382761775,-166.77214987089297,-32.800942797683604,87.0,87.0,0.0008413354145689606,0.0008772380109542929,103.669555230661,108.09348192439258
123,124,169.5638601112456,-166.75883484634016,-32.8077658741408,137.0,137.0,0.0005452383319021218,0.0007599012919591737,67.18440039988049,93.6352227571125
124,125,169.55115296043695,-166.7395223553331,-32.802201406691765,141.0,141.0,0.00039911454985659445,0.0004171173041609751,49.178992293955325,51.39729607547175
125,126,169.54396245233755,-166.7285909480043,-32.79984095298658,143.0,143.0,0.000705919925012329,0.0007408262277499629,86.98362554009817,91.28478868727328
126,127,169.56564753068736,-166.76155081329279,-32.80943776672385,145.0,145.0,0.000456708560627931,0.0004567174331410426,56.27574036520268,56.276833638434894
127,128,169.56209440750044,-166.75615173667154,-32.804400799184236,93.0,93.0,0.001306646665987268,0.001306909185514131,161.0053212557631,161.03766897596836
128,129,169.56834072096422,-166.7656428221164,-32.80159371603031,121.0,121.0,0.0007257310948106281,0.0007262520149375769,89.42476272037601,89.48895062562325
129,130,169.57541217672662,-166.776385592005,-32.800152126748294,112.0,112.0,0.00167201305592773,0.002539509359535677,206.0258570438181,312.9189634101458
130,131,169.54330969767855,-166.7275984805387,-32.80016448741138,126.0,126.0,0.0007285349469164535,0.0010438707747231482,89.7702540615344,128.6260117663978
131,132,169.57869222471257,-166.78136779954747,-32.79459738026293,170.0,170.0,0.0014785419790979114,0.0016472108325470529,182.18630371273653,202.9697210223437
132,133,169.57550074070775,-166.77652012197512,-32.79332178540671,103.0,103.0,0.002167448948116406,0.0029652626180476024,267.07358866084473,365.3803838895736
133,134,169.5693935005822,-166.76724231819222,-32.809633069411994,164.0,164.0,0.0007006669842996806,0.0007808066313788255,86.33635690275892,96.21118378532103
134,135,169.5651193027361,-166.7607481907033,-32.80870104523001,105.0,105.0,0.0008249592604454439,0.0010775854458167974,101.65168152063357,132.7803417714141
135,136,169.5670391210001,-166.7636652232448,-32.808068284912714,106.0,106.0,0.0004297694301029088,0.0004924738934425153,52.956294123586204,60.68275340822799
136,137,169.5633974782279,-166.758131856693,-32.80805441448376,124.0,124.0,0.0005452383319021218,0.0007599012919591737,67.18440039988049,93.6352227571125
137,138,169.56250252268472,-166.75677190840418,-32.806841680321526,166.0,166.0,0.0006306436531459445,0.0007938987799331353,77.70806493885028,97.82440152718252
138,139,169.56039184170263,-166.75356443820087,-32.80609268074122,146.0,146.0,0.0010577549201052105,0.0012005072627143654,130.33681955077435,147.92679806607077
139,140,169.57314933862273,-166.77294818979868,-32.80217520294143,151.0,151.0,0.000615526563747551,0.0007433825163363204,75.84533349170621,91.59977519110977
140,141,169.55125884373385,-166.73968330779218,-32.801816593553546,110.0,110.0,0.00018712430469828474,0.0002136043642899431,23.057502519202238,26.32038192830812
